"name","transfer_fee","Position","club","league","detailed_position"
"João Félix","€127.20m","Forward","Atlético Madrid","LaLiga","Second Striker"
"Antoine Griezmann","€120.00m","Forward","Barcelona","LaLiga","Second Striker"
"Eden Hazard","€115.00m","Forward","Real Madrid","LaLiga","Left Winger"
"Nicolas Pépé","€80.00m","Forward","Arsenal","Premier League","Right Winger"
"Romelu Lukaku","€74.00m","Forward","Inter","Serie A","Centre-Forward"
"Luka Jović","€63.00m","Forward","Real Madrid","LaLiga","Centre-Forward"
"Sébastien Haller","€50.00m","Forward","West Ham","Premier League","Centre-Forward"
"Hirving Lozano","€45.00m","Forward","SSC Napoli","Serie A","Right Winger"
"Rodrygo","€45.00m","Forward","Real Madrid","LaLiga","Right Winger"
"Wissam Ben Yedder","€40.00m","Forward","Monaco","Ligue 1","Centre-Forward"
"Malcom","€40.00m","Forward","Zenit S-Pb","Premier Liga","Right Winger"
"Raúl Jiménez","€38.00m","Forward","Wolves","Premier League","Centre-Forward"
"Dejan Kulusevski","€35.00m","Forward","Juventus","Serie A","Right Winger"
"Ayoze Pérez","€33.40m","Forward","Leicester","Premier League","Second Striker"
"Steven Bergwijn","€30.00m","Forward","Tottenham","Premier League","Left Winger"
"Ismaïla Sarr","€30.00m","Forward","Watford","Premier League","Right Winger"
"Gelson Martins","€30.00m","Forward","Monaco","Ligue 1","Right Winger"
"Rafael Leão","€29.50m","Forward","AC Milan","Serie A","Left Winger"
"Borja Iglesias","€28.00m","Forward","Real Betis","LaLiga","Centre-Forward"
"Moise Kean","€27.50m","Forward","Everton","Premier League","Centre-Forward"
"Thorgan Hazard","€25.50m","Forward","Bor. Dortmund","Bundesliga","Left Winger"
"Danny Ings","€25.10m","Forward","Southampton","Premier League","Centre-Forward"
"Marko Arnautovic","€25.00m","Forward","SH SIPG","Super League","Centre-Forward"
"Rony Lopes","€25.00m","Forward","Sevilla FC","LaLiga","Right Winger"
"Wesley Moraes","€25.00m","Forward","Aston Villa","Premier League","Centre-Forward"
"Krzysztof Piatek","€24.00m","Forward","Hertha BSC","Bundesliga","Centre-Forward"
"Paco Alcácer","€23.00m","Forward","Villarreal","LaLiga","Centre-Forward"
"Raúl de Tomás","€22.50m","Forward","Espanyol","LaLiga","Centre-Forward"
"Victor Osimhen","€22.40m","Forward","LOSC Lille","Ligue 1","Centre-Forward"
"Luka Jović","€22.34m","Forward","E. Frankfurt","Bundesliga","Centre-Forward"
"Jarrod Bowen","€21.30m","Forward","West Ham","Premier League","Right Winger"
