"name","transfer_fee","Position","club","league"
"Jasper Cillessen","€35.00m","GK","Valencia","LaLiga"
"Alex Meret","€26.00m","GK","SSC Napoli","Serie A"
"Neto","€26.00m","GK","Barcelona","LaLiga"
"Pau López","€23.50m","GK","AS Roma","Serie A"
"Emil Audero","€20.00m","GK","Sampdoria","Serie A"
"Keylor Navas","€15.00m","GK","Paris SG","Ligue 1"
"Benjamin Lecomte","€13.50m","GK","Monaco","Ligue 1"
"Ionut Radu","€10.60m","GK","Inter","Serie A"
"Tom Heaton","€8.80m","GK","Aston Villa","Premier League"
"Ionut Radu","€8.00m","GK","Genoa","Serie A"
"Agustín Marchesín","€7.70m","GK","FC Porto","Liga NOS"
"Edouard Mendy","€7.60m","GK","Rennes","Ligue 1"
"Tomas Koubek","€7.50m","GK","FC Augsburg","Bundesliga"
"Kevin Trapp","€7.00m","GK","E. Frankfurt","Bundesliga"
"Simon Mignolet","€7.00m","GK","Club Brugge","Jupiler Pro League"
"Radoslaw Majecki","€7.00m","GK","Monaco","Ligue 1"
"Alessandro Russo","€7.00m","GK","Sassuolo","Serie A"
"Zack Steffen","€6.82m","GK","Man City","Premier League"
"Gabriel Brazão","€6.00m","GK","Inter","Serie A"
"Léo Jardim","€6.00m","GK","LOSC Lille","Ligue 1"
"Sebastián Jurado","€5.42m","GK","CD Cruz Azul","Liga MX Clausura"
"Predrag Rajković","€5.00m","GK","Stade Reims","Ligue 1"
"Cleiton","€5.00m","GK","RB Bragantino","Série A"
"Jesse Joronen","€5.00m","GK","Brescia","Serie A"
"Dani Martín","€5.00m","GK","Real Betis","LaLiga"
"Darren Randolph","€4.70m","GK","West Ham","Premier League"
"Tiago Volpi","€4.50m","GK","São Paulo","Série A"
"David Ospina","€3.50m","GK","SSC Napoli","Serie A"
"David Raya","€3.35m","GK","Brentford","Championship"
"Ralf Fährmann","Loan fee:","GK","Norwich","Premier League"
"Andrea Romagnoli","€3.00m","GK","Spartak 2","FNL"
"Bailey Peacock-Farrell","€2.75m","GK","Burnley","Premier League"
"Zixuan Li","€2.53m","GK","SZ FC Res.","China"
"José Sá","€2.50m","GK","Olympiacos","Super League 1"
"Hendrik Van Crombrugge","€2.25m","GK","RSC Anderlecht","Jupiler Pro League"
"Daniel Bentley","€2.20m","GK","Bristol City","Championship"
"Brice Samba","€2.10m","GK","Nottm Forest","Championship"
"Alphonse Areola","Loan fee:","GK","Real Madrid","LaLiga"
