"club","name","transfer_fee","Position","league","detailed_position","Squad","AVGage","Foreigners","TotalPlayerValue","League.x","Pos","GP","W","D","L","GR","GD","Points"
"AC Milan","Alexis Saelemaekers","Loan fee:","Forward","Serie A","Right Winger",45,24.4,22,"€578.48m","Serie A",5,38,19,11,8,"55:36",19,68
"AC Milan","Rafael Le~ao","€29.50m","Forward","Serie A","Left Winger",45,24.4,22,"€578.48m","Serie A",5,38,19,11,8,"55:36",19,68
"ACF Fiorentina","Pedro","€11.00m","Forward","Serie A","Centre-Forward",56,22.9,36,"€315.33m","Serie A",16,38,8,17,13,"47:45",2,41
"ACF Fiorentina","Patrick Cutrone","Loan fee:","Forward","Serie A","Centre-Forward",56,22.9,36,"€315.33m","Serie A",16,38,8,17,13,"47:45",2,41
"AFC Bournemouth","Arnaut Danjuma","€16.46m","Forward","Premier League","Left Winger",37,25.7,17,"€310.00m","Premier League",14,38,13,6,19,"56:70",-14,45
"Arsenal","Nicolas P'ep'e","€80.00m","Forward","Premier League","Right Winger",42,24.9,28,"€659.05m","Premier League",5,38,21,7,10,"73:51",22,70
"Arsenal","Gabriel Martinelli","€7.10m","Forward","Premier League","Left Winger",42,24.9,28,"€659.05m","Premier League",5,38,21,7,10,"73:51",22,70
"Atalanta BC","Luis Muriel","€21.20m","Forward","Serie A","Centre-Forward",88,22.7,29,"€367.68m","Serie A",3,38,20,9,9,"77:46",31,69
"Atalanta BC","Duv'an Zapata","€12.00m","Forward","Serie A","Centre-Forward",88,22.7,29,"€367.68m","Serie A",3,38,20,9,9,"77:46",31,69
"Bayer 04 Leverkusen","Moussa Diaby","€15.00m","Forward","Bundesliga","Right Winger",31,24.6,16,"€429.40m","Bundesliga",4,34,18,4,12,"69:52",17,58
"Bayern Munich","Fiete Arp","€3.00m","Forward","Bundesliga","Centre-Forward",32,25.7,15,"€784.88m","Bundesliga",1,34,24,6,4,"88:32",56,78
"Bayern Munich","Philippe Coutinho","Loan fee:","Forward","Bundesliga","Left Winger",32,25.7,15,"€784.88m","Bundesliga",1,34,24,6,4,"88:32",56,78
"Borussia Dortmund","Paco Alc'acer","€21.00m","Forward","Bundesliga","Centre-Forward",34,24.4,19,"€643.25m","Bundesliga",2,34,23,7,4,"81:44",37,76
"Borussia Dortmund","Erling Haaland","€20.00m","Forward","Bundesliga","Centre-Forward",34,24.4,19,"€643.25m","Bundesliga",2,34,23,7,4,"81:44",37,76
"Borussia Dortmund","Thorgan Hazard","€25.50m","Forward","Bundesliga","Left Winger",34,24.4,19,"€643.25m","Bundesliga",2,34,23,7,4,"81:44",37,76
"Brighton & Hove Albion","Leandro Trossard","€15.56m","Forward","Premier League","Left Winger",41,25.8,29,"€194.35m","Premier League",17,38,9,9,20,"35:60",-25,36
"Brighton & Hove Albion","Neal Maupay","€15.56m","Forward","Premier League","Centre-Forward",41,25.8,29,"€194.35m","Premier League",17,38,9,9,20,"35:60",-25,36
"Burnley","Jay Rodr'iguez","€10.00m","Forward","Premier League","Centre-Forward",33,28.1,14,"€197.25m","Premier League",15,38,11,7,20,"45:68",-23,40
"Cagliari Calcio","Giovanni Simeone","Loan fee:","Forward","Serie A","Centre-Forward",49,25.9,18,"€155.38m","Serie A",15,38,10,11,17,"36:54",-18,41
"Cagliari Calcio","Alberto Cerri","€9.00m","Forward","Serie A","Centre-Forward",49,25.9,18,"€155.38m","Serie A",15,38,10,11,17,"36:54",-18,41
"Cardiff City","Robert Glatzel","€6.00m","Forward","Championship","Centre-Forward",35,27.3,20,"€113.00m","Premier League",18,38,10,4,24,"34:69",-35,34
"CD Leganés","Martin Braithwaite","€5.00m","Forward","LaLiga","Centre-Forward",38,25.9,19,"€112.45m","LaLiga",13,38,11,12,15,"37:43",-6,45
"Chievo Verona","Manuel Pucciarelli","€3.75m","Forward","Serie B","Second Striker",68,24.7,32,"€54.70m","Serie A",20,38,2,14,22,"25:75",-50,17
"CR Flamengo","Gabriel Barbosa","€17.50m","Forward","Série A","Centre-Forward",47,23.2,7,"€70.68m","CampeonatoBrasileiroSerieA",2,38,21,9,8,"59:29",30,72
"CR Flamengo","Michael","€7.50m","Forward","Série A","Left Winger",47,23.2,7,"€70.68m","CampeonatoBrasileiroSerieA",2,38,21,9,8,"59:29",30,72
"Eintracht Frankfurt","Dejan Joveljic","€4.00m","Forward","Bundesliga","Centre-Forward",47,24.8,28,"€313.40m","Bundesliga",7,34,15,9,10,"60:48",12,54
"Eintracht Frankfurt","Luka Jovi'c","€22.34m","Forward","Bundesliga","Centre-Forward",47,24.8,28,"€313.40m","Bundesliga",7,34,15,9,10,"60:48",12,54
"Eintracht Frankfurt","Bas Dost","€7.00m","Forward","Bundesliga","Centre-Forward",47,24.8,28,"€313.40m","Bundesliga",7,34,15,9,10,"60:48",12,54
"Empoli","Leonardo Mancuso","€4.50m","Forward","Serie B","Centre-Forward",59,24.1,24,"€105.60m","Serie A",18,38,10,8,20,"51:70",-19,38
"Everton","Moise Kean","€27.50m","Forward","Premier League","Centre-Forward",40,26,28,"€529.10m","Premier League",8,38,15,9,14,"54:46",8,54
"FC Augsburg","Rub'en Vargas","€4.00m","Forward","Bundesliga","Left Winger",40,24.9,19,"€139.25m","Bundesliga",15,34,8,8,18,"51:71",-20,32
"FC Porto","Luis D'iaz","€7.22m","Forward","Liga NOS","Left Winger",33,26.2,23,"€347.15m","LigaNOS",2,34,27,4,3,"74:20",54,85
"FC Porto","Z'e Lu'is","€10.75m","Forward","Liga NOS","Centre-Forward",33,26.2,23,"€347.15m","LigaNOS",2,34,27,4,3,"74:20",54,85
"FC Schalke 04","Benito Raman","€10.00m","Forward","Bundesliga","Centre-Forward",39,25.1,24,"€221.30m","Bundesliga",14,34,8,9,17,"37:55",-18,33
"Fenerbahce","Vedat Muriqi","€5.60m","Forward","Süper Lig","Centre-Forward",47,26.1,20,"€103.50m","SuperLig",6,34,11,13,10,"44:44",0,46
"Fortuna Düsseldorf","Dawid Kownacki","€6.75m","Forward","Bundesliga","Centre-Forward",34,26.3,16,"€94.95m","Bundesliga",10,34,13,5,16,"49:65",-16,44
"Fulham","Ivan Cavaleiro","€11.80m","Forward","Championship","Left Winger",33,25.7,26,"€254.25m","Premier League",19,38,7,5,26,"34:81",-47,26
"Fulham","Ivan Cavaleiro","Loan fee:","Forward","Championship","Left Winger",33,25.7,26,"€254.25m","Premier League",19,38,7,5,26,"34:81",-47,26
"Fulham","Anthony Knockaert","Loan fee:","Forward","Championship","Right Winger",33,25.7,26,"€254.25m","Premier League",19,38,7,5,26,"34:81",-47,26
"Genoa CFC","Andrea Favilli","€7.00m","Forward","Serie A","Centre-Forward",69,23.8,35,"€191.73m","Serie A",17,38,8,14,16,"39:57",-18,38
