"team","player_name","sofifa_id","player_url","short_name","player_positions","overall","potential","value_eur","wage_eur","age.x","dob","height_cm","weight_kg","club_team_id","club_name.x.x","league_name.x.x","league_level","club_position","club_jersey_number","club_loaned_from","club_joined","club_contract_valid_until","nationality_id","nationality_name","nation_team_id","nation_position","nation_jersey_number","preferred_foot","weak_foot","skill_moves","international_reputation","work_rate","body_type","real_face","release_clause_eur","player_tags","player_traits","pace","shooting","passing","dribbling","defending","physic","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking_awareness","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes","goalkeeping_speed","ls","st","rs","lw","lf","cf","rf","rw","lam","cam","ram","lm","lcm","cm","rcm","rm","lwb","ldm","cdm","rdm","rwb","lb","lcb","cb","rcb","rb","gk","player_face_url","club_logo_url","club_flag_url","nation_logo_url","nation_flag_url","age.y","position.x","club_involved_name","fee","transfer_movement","transfer_period","fee_cleaned","league_name.y","year.x","season","league_name.x.y","year.y","position.y","matches","wins","draws","loses","scored","missed","pts","xG","xG_diff","npxG","xGA","xGA_diff","npxGA","npxGD","ppda_coef","oppda_coef","deep","deep_allowed","xpts","xpts_diff","club_name.x.y"
"Barcelona","Jasper Cillessen",199987,"https://sofifa.com/player/199987/jasper-cillessen/160002","J. Cillessen","GK",82,85,20500000,150000,26,"1989-04-22",187,83,245,"Ajax","Holland Eredivisie",1,"GK",1,"","2011-08-01",2018,34,"Netherlands",105035,"GK",1,"Right",3,1,3,"Medium/Medium","Normal (185+)","No",NA,"","",NA,NA,NA,NA,NA,NA,17,10,12,47,19,12,10,10,33,32,54,50,48,79,50,35,71,40,67,15,25,25,11,60,21,NA,18,12,11,80,84,74,82,79,52,"29+1","29+1","29+1","32+1","33+1","33+1","33+1","32+1","37+1","37+1","37+1","34+1","37+1","37+1","37+1","34+1","32+1","34+1","34+1","34+1","32+1","31+1","29+1","29+1","29+1","31+1","81+1","https://cdn.sofifa.net/players/199/987/16_120.png","https://cdn.sofifa.net/teams/245/60.png","https://cdn.sofifa.net/flags/nl.png","https://cdn.sofifa.net/teams/105035/60.png","https://cdn.sofifa.net/flags/nl.png",27,"Goalkeeper","Ajax","€13.00m","in","Summer",13,"Primera Division","16","2016/2017","La_liga",15,1,38,29,4,5,112,29,91,113.59827,1.59826999999999,99.47702,34.0290901,5.0290901,33.2859401,66.1910799,6.01215190946833,15.0643895426986,570,163,94.38,3.37999999999998,"Barcelona"
"Barcelona","Lucas Digne",200458,"https://sofifa.com/player/200458/lucas-digne/160002","L. Digne","LB",76,81,6e+06,70000,21,"1993-07-20",178,74,52,"Roma","Italian Serie A",1,"SUB",3,"Paris Saint-Germain","",2016,18,"France",NA,"",NA,"Left",3,3,2,"High/Medium","Lean (170-185)","Yes",NA,"","Long Throw-in",75,52,72,72,76,72,76,47,67,77,25,70,65,37,67,77,74,75,71,76,66,67,75,76,68,58,77,74,65,72,28,NA,77,78,81,6,12,9,6,13,NA,"65","65","65","70","69","69","69","70","70","70","70","72","72","72","72","72","76","75","75","75","76","76","75","75","75","76","17","https://cdn.sofifa.net/players/200/458/16_120.png","https://cdn.sofifa.net/teams/52/60.png","https://cdn.sofifa.net/flags/it.png","","https://cdn.sofifa.net/flags/fr.png",22,"Left-Back","Paris SG","€16.50m","in","Summer",16.5,"Primera Division","16","2016/2017","La_liga",15,1,38,29,4,5,112,29,91,113.59827,1.59826999999999,99.47702,34.0290901,5.0290901,33.2859401,66.1910799,6.01215190946833,15.0643895426986,570,163,94.38,3.37999999999998,"Barcelona"
"Eibar","Florian Lejeune",197948,"https://sofifa.com/player/197948/florian-lejeune/160002","F. Lejeune","CB",73,78,3300000,35000,24,"1991-05-20",188,81,110062,"Girona FC","Spanish Segunda División",2,"LCB",4,"Manchester City","",2016,18,"France",NA,"",NA,"Right",3,2,1,"Medium/High","Normal (185+)","No",NA,"#Strength","",53,54,55,53,74,82,51,42,75,68,42,47,47,41,67,62,49,56,50,67,47,77,55,74,91,66,77,72,46,32,43,NA,74,75,69,11,15,15,12,7,NA,"59","59","59","53","54","54","54","53","54","54","54","55","60","60","60","55","65","70","70","70","65","67","73","73","73","67","18","https://cdn.sofifa.net/players/197/948/16_120.png","https://cdn.sofifa.net/teams/110062/60.png","https://cdn.sofifa.net/flags/es.png","","https://cdn.sofifa.net/flags/fr.png",25,"Centre-Back","Man City","€1.50m","in","Summer",1.5,"Primera Division","16","2016/2017","La_liga",15,14,38,11,10,17,49,61,43,52.916666,3.916666,46.843993,50.580983,-10.419017,47.45242,-0.608426999999998,7.8044103346377,7.97434862132492,191,218,54.0253,11.0253,"Eibar"
"Granada","Mohammed Fatau",216465,"https://sofifa.com/player/216465/mohamed-fatau/160002","M. Fatau","CDM, CM",70,76,1600000,20000,22,"1992-12-24",178,75,1861,"Unión Deportiva Almería","Spanish Segunda División",2,"LDM",8,"Granada CF","",2016,117,"Ghana",NA,"",NA,"Right",2,2,1,"Medium/Medium","Normal (170-185)","No",NA,"","Long Shot Taker (AI)",68,44,57,58,69,80,36,37,53,71,44,51,34,35,65,67,69,68,63,57,67,65,82,83,81,44,71,73,36,61,38,NA,62,77,70,9,11,12,8,9,NA,"54","54","54","54","55","55","55","54","58","58","58","57","63","63","63","57","65","70","70","70","65","66","70","70","70","66","15","https://cdn.sofifa.net/players/216/465/16_120.png","https://cdn.sofifa.net/teams/1861/60.png","https://cdn.sofifa.net/flags/es.png","","https://cdn.sofifa.net/flags/gh.png",23,"Defensive Midfield","UD Almería","End of loanJun 30, 2016","in","Summer",NA,"Primera Division","16","2016/2017","La_liga",15,17,38,10,9,19,46,69,39,41.353233,-4.646767,36.150419,62.37492,-6.62508,58.658524,-22.508105,8.9992449432851,7.24197611557666,117,268,38.4994,-0.500600000000006,"Granada"
"Granada","Franck Tabanou",188696,"https://sofifa.com/player/188696/franck-tabanou/160002","F. Tabanou","LB, LWB",76,77,4900000,60000,26,"1989-01-30",178,70,1960,"Swansea City","English Premier League",1,"SUB",14,"","2015-06-19",2018,18,"France",NA,"",NA,"Left",3,3,1,"High/Medium","Normal (170-185)","No",NA,"","Long Shot Taker (AI)",76,71,77,75,74,73,81,63,68,77,71,75,74,75,74,76,79,74,76,73,73,83,76,79,72,78,69,70,69,75,73,NA,77,73,82,15,13,14,11,6,NA,"72","72","72","74","74","74","74","74","74","74","74","75","75","75","75","75","76","75","75","75","76","76","74","74","74","76","18","https://cdn.sofifa.net/players/188/696/16_120.png","https://cdn.sofifa.net/teams/1960/60.png","https://cdn.sofifa.net/flags/gb-eng.png","","https://cdn.sofifa.net/flags/fr.png",27,"Left-Back","Swansea","loan transfer","in","Summer",NA,"Primera Division","16","2016/2017","La_liga",15,17,38,10,9,19,46,69,39,41.353233,-4.646767,36.150419,62.37492,-6.62508,58.658524,-22.508105,8.9992449432851,7.24197611557666,117,268,38.4994,-0.500600000000006,"Granada"
"Granada","Sverrir Ingi Ingason",221422,"https://sofifa.com/player/221422/sverrir-ingi-ingason/160002","S. Ingason","CB",70,76,1600000,20000,21,"1993-08-05",188,83,2007,"Sporting Lokeren","Belgian Jupiler Pro League",1,"LCB",15,"","2015-02-02",2018,24,"Iceland",NA,"",NA,"Right",3,2,1,"Medium/Medium","Normal (185+)","No",NA,"","",64,49,52,54,70,75,45,43,66,56,30,47,48,46,57,60,63,64,58,67,58,61,76,73,77,52,73,70,54,49,50,NA,71,70,73,13,9,10,9,9,NA,"57","57","57","54","55","55","55","54","55","55","55","55","58","58","58","55","64","66","66","66","64","66","70","70","70","66","16","https://cdn.sofifa.net/players/221/422/16_120.png","https://cdn.sofifa.net/teams/2007/60.png","https://cdn.sofifa.net/flags/be.png","","https://cdn.sofifa.net/flags/is.png",23,"Centre-Back","KSC Lokeren","€1.80m","in","Winter",1.8,"Primera Division","16","2016/2017","La_liga",15,17,38,10,9,19,46,69,39,41.353233,-4.646767,36.150419,62.37492,-6.62508,58.658524,-22.508105,8.9992449432851,7.24197611557666,117,268,38.4994,-0.500600000000006,"Granada"
"Granada","Mubarak Wakaso",188337,"https://sofifa.com/player/188337/mubarak-wakaso/160002","M. Wakaso","LM, RM, CM",74,77,4200000,35000,24,"1990-07-25",171,72,472,"Unión Deportiva Las Palmas","Spain Primera Division",1,"SUB",12,"Rubin Kazan","",2016,117,"Ghana",NA,"",NA,"Left",2,2,1,"Medium/Medium","Stocky (170-185)","No",NA,"#Speedster","Dives Into Tackles (AI), Long Shot Taker (AI)",91,64,71,71,65,80,76,55,47,74,67,67,61,57,70,71,92,91,86,74,83,86,90,81,75,64,87,75,72,69,36,NA,52,76,70,10,16,7,15,14,NA,"69","69","69","73","71","71","71","73","71","71","71","74","72","72","72","74","74","72","72","72","74","74","70","70","70","74","20","https://cdn.sofifa.net/players/188/337/16_120.png","https://cdn.sofifa.net/teams/472/60.png","https://cdn.sofifa.net/flags/es.png","","https://cdn.sofifa.net/flags/gh.png",26,"Central Midfield","Panathinaikos","loan transfer","in","Winter",NA,"Primera Division","16","2016/2017","La_liga",15,17,38,10,9,19,46,69,39,41.353233,-4.646767,36.150419,62.37492,-6.62508,58.658524,-22.508105,8.9992449432851,7.24197611557666,117,268,38.4994,-0.500600000000006,"Granada"
"Granada","Mehdi Carcela-González",184089,"https://sofifa.com/player/184089/mehdi-carcela-gonzalez/160002","M. Carcela-Gonzalez","RM",74,76,3900000,60000,26,"1989-07-01",179,70,234,"SL Benfica","Portuguese Liga ZON SAGRES",1,"SUB",39,"","2015-07-01",2019,129,"Morocco",NA,"",NA,"Left",3,4,1,"Medium/Low","Normal (170-185)","No",NA,"","Injury Prone, Technical Dribbler (AI)",78,69,70,83,24,54,71,66,35,73,69,84,72,71,68,81,81,76,89,73,80,71,66,64,58,74,28,25,71,65,65,NA,16,28,22,8,15,14,7,12,NA,"69","69","69","76","74","74","74","76","75","75","75","74","68","68","68","74","54","50","50","50","54","49","38","38","38","49","18","https://cdn.sofifa.net/players/184/089/16_120.png","https://cdn.sofifa.net/teams/234/60.png","https://cdn.sofifa.net/flags/pt.png","","https://cdn.sofifa.net/flags/ma.png",27,"Right Winger","Benfica","€4.00m","in","Summer",4,"Primera Division","16","2016/2017","La_liga",15,17,38,10,9,19,46,69,39,41.353233,-4.646767,36.150419,62.37492,-6.62508,58.658524,-22.508105,8.9992449432851,7.24197611557666,117,268,38.4994,-0.500600000000006,"Granada"
"Granada","Molla Wagué",205243,"https://sofifa.com/player/205243/molla-wague/160002","M. Wagué","CB",72,76,2400000,20000,24,"1991-02-21",191,84,55,"Udinese Calcio","Italian Serie A",1,"SUB",2,"","2014-07-01",2019,126,"Mali",NA,"",NA,"Right",3,2,1,"Medium/Medium","Normal (185+)","No",NA,"#Strength","Power Header",61,33,42,45,74,78,36,31,73,46,25,36,30,29,51,51,55,65,55,69,58,44,68,66,86,29,77,71,29,39,34,NA,75,75,73,13,9,5,6,6,NA,"48","48","48","44","44","44","44","44","44","44","44","46","49","49","49","46","60","64","64","64","60","64","72","72","72","64","15","https://cdn.sofifa.net/players/205/243/16_120.png","https://cdn.sofifa.net/teams/55/60.png","https://cdn.sofifa.net/flags/it.png","","https://cdn.sofifa.net/flags/ml.png",25,"Centre-Back","Udinese Calcio","End of loanJan 30, 2017","in","Winter",NA,"Primera Division","16","2016/2017","La_liga",15,17,38,10,9,19,46,69,39,41.353233,-4.646767,36.150419,62.37492,-6.62508,58.658524,-22.508105,8.9992449432851,7.24197611557666,117,268,38.4994,-0.500600000000006,"Granada"
"Las Palmas","Kevin-Prince Boateng",173909,"https://sofifa.com/player/173909/kevin-prince-boateng/160002","K. Boateng","CM, CAM, CDM",78,78,8e+06,1e+05,28,"1987-03-06",186,86,34,"FC Schalke 04","German 1. Bundesliga",1,"RES",49,"","2013-08-30",2016,117,"Ghana",NA,"",NA,"Right",4,4,3,"High/Medium","Normal (185+)","Yes",NA,"","Injury Prone, Leadership, Flair, Long Shot Taker (AI)",76,77,77,80,69,81,75,74,76,80,84,80,81,71,74,82,75,77,77,77,68,84,85,74,83,79,86,66,77,77,67,NA,61,74,73,6,11,15,16,6,NA,"78","78","78","78","78","78","78","78","78","78","78","78","77+1","77+1","77+1","78","74+1","75+1","75+1","75+1","74+1","74+1","74+1","74+1","74+1","74+1","17+1","https://cdn.sofifa.net/players/173/909/16_120.png","https://cdn.sofifa.net/teams/34/60.png","https://cdn.sofifa.net/flags/de.png","","https://cdn.sofifa.net/flags/gh.png",29,"Attacking Midfield","AC Milan","free transfer","in","Summer",0,"Primera Division","16","2016/2017","La_liga",15,12,38,12,8,18,45,53,44,38.676393,-6.323607,34.949103,59.2368153,6.23681529999999,56.2637223,-21.3146193,10.0795522357916,8.92785835789104,228,250,41.1793,-2.82069999999999,"Las Palmas"
