"Name","Age","Overall.rating","Potential","Years Left","field_position","Value","Wage","Skill.moves","Heading.accuracy","Long.passing","Ball.control","Total.movement","Jumping","Stamina","Strength","Total.mentality","Total.defending"
"D. Godín",32,90,90,0,"Defender",4.4e+07,120000,2,92,70,76,323,91,66,88,327,268
"Sergio Ramos",32,90,90,1,"Defender",4.4e+07,3e+05,3,91,83,83,383,93,84,83,396,266
"G. Chiellini",33,90,90,1,"Defender",3.1e+07,225000,2,83,63,59,329,89,65,89,308,277
"V. van Dijk",26,89,91,4,"Defender",6.7e+07,225000,2,85,81,76,351,88,75,92,334,265
"K. Koulibaly",27,88,90,4,"Defender",5.8e+07,130000,2,83,60,63,317,81,75,94,281,266
"M. Hummels",29,88,88,2,"Defender",4.6e+07,160000,3,87,85,81,306,68,66,84,364,266
"Thiago Silva",33,88,88,1,"Defender",2.4e+07,160000,2,81,80,80,355,90,74,82,356,262
"Piqué",31,88,88,3,"Defender",4e+07,275000,2,85,81,82,297,74,67,85,368,263
"S. Umtiti",24,87,92,4,"Defender",5.7e+07,2e+05,2,79,73,77,360,89,75,84,345,263
"Jordi Alba",29,87,87,5,"Defender",3.8e+07,250000,3,70,74,84,444,81,91,61,376,242
"T. Alderweireld",29,87,87,1,"Defender",3.9e+07,160000,2,82,85,75,326,84,78,79,351,267
"J. Vertonghen",31,87,87,1,"Defender",3.4e+07,150000,3,80,74,77,332,85,75,79,367,264
"M. Škriniar",23,86,93,4,"Defender",53500000,90000,2,82,69,67,325,78,77,85,315,265
"J. Kimmich",23,86,88,4,"Defender",4.5e+07,1e+05,3,74,83,85,399,79,94,64,362,235
"A. Laporte",24,86,89,5,"Defender",47500000,160000,2,86,78,75,325,76,71,84,322,265
"R. Varane",25,86,91,3,"Defender",5e+07,2e+05,2,83,76,77,354,79,73,84,302,262
"Alex Sandro",27,86,86,1,"Defender",36500000,160000,3,76,71,81,410,79,92,79,364,249
"L. Bonucci",31,86,86,4,"Defender",3e+07,160000,2,86,85,75,318,85,71,83,354,256
"M. de Ligt",18,85,93,2,"Defender",4.4e+07,15000,2,84,75,74,341,84,75,88,309,250
"Marquinhos",24,85,90,3,"Defender",43500000,1e+05,2,84,80,79,371,88,75,75,314,259
"Carvajal",26,85,86,3,"Defender",36500000,2e+05,3,70,74,84,413,76,89,74,354,251
"K. Manolas",27,85,86,3,"Defender",36500000,1e+05,2,80,61,65,377,86,76,82,245,263
"Filipe Luís",32,85,85,0,"Defender",21500000,80000,3,72,77,83,372,69,89,73,371,248
"Pepe",35,85,85,2,"Defender",9e+06,20000,2,80,61,62,330,76,60,86,322,253
"C. Lenglet",23,84,90,4,"Defender",36500000,160000,2,83,73,76,352,86,76,80,334,253
"J. Giménez",23,84,88,4,"Defender",3.4e+07,60000,2,81,58,56,314,90,67,85,263,261
