"zentriert","bilderrahmen-fixed src","hauptlink","hauptlink href","inline-table","flaggenrahmen src","inline-table href","tiny_wappen src","hauptlink 2","flaggenrahmen src 2","inline-table 2","inline-table href 2","rechts","rechts href","inline-table src","flaggenrahmen src 3"
"1","https://img.a.transfermarkt.technology/portrait/medium/177907-1663841733.jpg?lm=1","Harry Maguire","https://www.transfermarkt.us/harry-maguire/profil/spieler/177907","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","https://www.transfermarkt.us/manchester-united/startseite/verein/985/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/985.png?lm=1457975903","Man Utd","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€87.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/177907/transfer_id/2590601","",""
"2","https://img.a.transfermarkt.technology/portrait/medium/326031-1667829815.jpg?lm=1","Matthijs de Ligt","https://www.transfermarkt.us/matthijs-de-ligt/profil/spieler/326031","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569","https://www.transfermarkt.us/juventus-turin/startseite/verein/506/saison_id/2019","","Juventus","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€85.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/326031/transfer_id/2562879","https://tmssl.akamaized.net/images/wappen/tiny/506_1539955489.png?lm=1539955489",""
"3","https://img.a.transfermarkt.technology/portrait/medium/281963-1667830435.jpg?lm=1","Lucas Hernández","https://www.transfermarkt.us/lucas-hernandez/profil/spieler/281963","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/fc-bayern-munchen/startseite/verein/27/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/27.png?lm=1498251238","Bayern Munich","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€80.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/281963/transfer_id/2438348","","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569"
"4","https://img.a.transfermarkt.technology/portrait/medium/182712-1675080937.jpg?lm=1","João Cancelo","https://www.transfermarkt.us/joao-cancelo/profil/spieler/182712","Right-Back","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","https://www.transfermarkt.us/manchester-city/startseite/verein/281/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/281.png?lm=1467356331","Man City","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€65.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/182712/transfer_id/2595717","",""
"5","https://img.a.transfermarkt.technology/portrait/medium/477758-1617030255.jpg?lm=1","Aaron Wan-Bissaka","https://www.transfermarkt.us/aaron-wan-bissaka/profil/spieler/477758","Right-Back","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","https://www.transfermarkt.us/manchester-united/startseite/verein/985/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/985.png?lm=1457975903","Man Utd","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€55.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/477758/transfer_id/2529063","","https://tmssl.akamaized.net/images/flagge/verysmall/193.png?lm=1520611569"
"6","https://img.a.transfermarkt.technology/portrait/medium/401530-1568189259.jpg?lm=1","Éder Militão","https://www.transfermarkt.us/eder-militao/profil/spieler/401530","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/real-madrid/startseite/verein/418/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/418.png?lm=1580722449","Real Madrid","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€50.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/401530/transfer_id/2428337","","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569"
"7","https://img.a.transfermarkt.technology/portrait/medium/291417-1664971233.jpg?lm=1","Ferland Mendy","https://www.transfermarkt.us/ferland-mendy/profil/spieler/291417","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/real-madrid/startseite/verein/418/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/418.png?lm=1580722449","Real Madrid","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€48.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/291417/transfer_id/2506138","","https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569"
"8","https://img.a.transfermarkt.technology/portrait/medium/145707-1663577215.jpg?lm=1","Danilo","https://www.transfermarkt.us/danilo/profil/spieler/145707","Right-Back","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/juventus-turin/startseite/verein/506/saison_id/2019","","Juventus","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€37.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/145707/transfer_id/2595728","https://tmssl.akamaized.net/images/wappen/tiny/506_1539955489.png?lm=1539955489",""
"9","https://img.a.transfermarkt.technology/portrait/medium/104752-1663850126.jpg?lm=1","Konstantinos Manolas","https://www.transfermarkt.us/konstantinos-manolas/profil/spieler/104752","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/56.png?lm=1520611569","https://www.transfermarkt.us/ssc-neapel/startseite/verein/6195/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/6195.png?lm=1437135876","SSC Napoli","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€36.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/104752/transfer_id/2530783","",""
"10","https://img.a.transfermarkt.technology/portrait/medium/353366-1667831086.jpg?lm=1","Benjamin Pavard","https://www.transfermarkt.us/benjamin-pavard/profil/spieler/353366","Right-Back","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/fc-bayern-munchen/startseite/verein/27/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/27.png?lm=1498251238","Bayern Munich","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€35.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/353366/transfer_id/2361742","",""
