"","Name","Age","Overall rating","Potential","Team & Contract","ID","Height","Weight","foot","Best overall","Best position","Growth","Joined","Loan date end","Value","Wage","Release clause","Total attacking","Crossing","Finishing","Heading accuracy","Short passing","Volleys","Total skill","Dribbling","Curve","FK Accuracy","Long passing","Ball control","Total movement","Acceleration","Sprint speed","Agility","Reactions","Balance","Total power","Shot power","Jumping","Stamina","Strength","Long shots","Total mentality","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Total defending","Marking","Standing tackle","Sliding tackle","Total goalkeeping","GK Diving","GK Handling","GK Kicking","GK Positioning","GK Reflexes","Total stats","Base stats","Weak foot","Skill moves","Attacking work rate","Defensive work rate","International reputation","Body type","Pace / Diving","Shooting / Handling","Passing / Kicking","Dribbling / Reflexes","Defending / Pace","Physical / Positioning"
NA,"L. MessiCF RW ST",31,94,94,"FC Barcelona
2004 ~ 2021",158023,"170cm / 5'7""","72kg / 159lbs","Left",94,"CAM",0,"Jul 1, 2004","N/A","€110.5M","€575K","€226.5M",429,86,95,70,92,86,469,97,93,94,89,96,460,91,86,93,95,95,385,85,68,72,66,94,333,48,22,94,94,75,96,87,33,28,26,54,6,11,15,14,8,2217,462,4,4,"Medium","Low",5,"Unique",88,91,91,96,32,64
NA,"Cristiano RonaldoST LW",33,94,94,"Juventus
2018 ~ 2022",20801,"187cm / 6'2""","83kg / 183lbs","Right",92,"ST",0,"Jul 10, 2018","N/A","€77M","€400K","€127.1M",435,84,94,89,81,87,416,88,81,76,77,94,433,89,91,87,96,70,450,95,95,88,79,93,354,63,29,95,82,85,95,82,28,31,23,58,7,11,15,14,11,2228,467,4,5,"High","Low",5,"Unique",90,93,81,89,35,79
NA,"Neymar JrLW CAM",26,92,92,"Paris Saint Germain
2017 ~ 2022",190871,"175cm / 5'9""","68kg / 150lbs","Right",90,"RW",0,"Aug 3, 2017","N/A","€108M","€300K","€199.8M",400,83,87,62,84,84,446,96,88,87,80,95,458,94,90,96,94,84,353,80,61,81,49,82,350,56,36,89,88,81,94,84,27,24,33,59,9,9,15,15,11,2150,446,5,5,"High","Medium",5,"Unique",92,84,84,95,32,59
NA,"J. OblakGK",25,91,93,"Atlético Madrid
2014 ~ 2023",200389,"188cm / 6'2""","87kg / 192lbs","Right",89,"GK",2,"Jul 16, 2014","N/A","€75.5M","€120K","€160.4M",81,13,11,15,29,13,81,12,13,14,26,16,307,43,60,67,88,49,229,22,76,41,78,12,140,34,19,11,65,11,70,57,27,12,18,435,86,92,78,90,89,1330,487,3,1,"Medium","Medium",3,"Normal (185+)",86,92,78,89,52,90
NA,"K. De BruyneCAM CM",27,91,91,"Manchester City
2015 ~ 2023",192985,"181cm / 5'11""","70kg / 154lbs","Right",89,"CAM",0,"Aug 30, 2015","N/A","€93M","€350K","€172.1M",404,93,82,55,92,82,436,86,85,83,91,91,401,78,76,79,91,77,408,91,63,89,75,90,397,76,61,87,94,79,90,177,68,58,51,56,15,13,5,10,13,2279,481,5,4,"High","High",4,"Normal (170-185)",77,86,92,87,61,78
NA,"E. HazardLW CF",27,91,91,"Chelsea
2012 ~ 2020",183277,"173cm / 5'8""","76kg / 168lbs","Right",90,"CAM",0,"Jul 1, 2012","N/A","€93M","€325K","€172.1M",395,81,84,61,89,80,434,95,83,79,83,94,461,94,88,95,90,94,368,82,56,84,66,80,357,54,41,87,89,86,91,83,34,27,22,45,11,12,6,8,8,2143,457,4,4,"High","Medium",4,"Normal (170-185)",91,83,86,94,35,68
NA,"L. ModrićCM",32,91,91,"Real Madrid
2012 ~ 2020",177003,"172cm / 5'8""","66kg / 146lbs","Right",88,"CM",0,"Aug 1, 2012","N/A","€67M","€425K","€137.4M",382,86,72,55,93,76,433,90,85,78,88,92,426,78,72,92,90,94,376,79,68,89,58,82,398,62,83,79,92,82,92,217,68,76,73,52,13,9,7,14,9,2284,472,4,4,"High","High",4,"Lean (170-185)",75,76,90,91,73,67
NA,"L. SuárezST",31,91,91,"FC Barcelona
2014 ~ 2021",176580,"182cm / 6'0""","86kg / 190lbs","Right",87,"ST",0,"Jul 11, 2014","N/A","€80M","€450K","€164M",423,77,92,82,82,90,413,86,86,84,69,88,413,83,73,82,92,83,413,86,69,90,83,85,389,87,41,92,84,85,85,145,62,45,38,153,27,25,31,33,37,2349,470,4,3,"High","Medium",5,"Normal (170-185)",78,89,80,86,52,85
NA,"H. KaneST",24,90,92,"Tottenham Hotspur
2010 ~ 2024",202126,"188cm / 6'2""","89kg / 196lbs","Right",87,"ST",2,"Jul 1, 2010","N/A","€96.5M","€200K","€185.8M",422,75,94,86,82,85,393,80,78,68,83,84,375,68,72,71,91,73,426,88,79,89,84,86,377,78,35,93,81,90,91,130,56,36,38,54,8,10,11,14,11,2177,453,4,3,"High","High",3,"Normal (185+)",70,91,80,81,47,84
NA,"De GeaGK",27,90,92,"Manchester United
2011 ~ 2020",193080,"192cm / 6'4""","82kg / 181lbs","Right",88,"GK",2,"Jul 1, 2011","N/A","€62.5M","€200K","€123.4M",114,17,13,21,50,13,143,18,21,19,47,38,308,57,58,62,88,43,217,31,67,43,64,12,174,38,30,12,65,29,70,59,25,21,13,436,90,84,83,86,93,1451,494,3,1,"Medium","Medium",4,"Lean (185+)",90,84,83,93,58,86
NA,"R. LewandowskiST",29,90,90,"FC Bayern München
2014 ~ 2021",188545,"184cm / 6'0""","80kg / 176lbs","Right",87,"ST",0,"Jul 1, 2014","N/A","€77M","€200K","€127.1M",409,62,90,85,83,89,402,85,77,86,65,89,402,77,78,78,90,79,418,88,84,78,84,84,374,80,39,92,77,86,86,95,34,42,19,51,15,6,12,8,10,2151,449,4,4,"High","Medium",4,"Normal (170-185)",78,88,75,85,41,82
NA,"D. GodínCB",32,90,90,"Atlético Madrid
2010 ~ 2019",182493,"187cm / 6'2""","78kg / 172lbs","Right",88,"CB",0,"Aug 4, 2010","N/A","€44M","€120K","€90.2M",315,55,42,92,79,47,299,53,49,51,70,76,323,64,62,58,85,54,355,67,91,66,88,43,327,89,88,48,52,50,82,268,90,89,89,49,6,8,15,5,15,1936,410,3,2,"Medium","High",3,"Lean (185+)",63,48,65,62,89,83
NA,"David SilvaCAM CM",32,90,90,"Manchester City
2010 ~ 2020",168542,"173cm / 5'8""","67kg / 148lbs","Left",88,"CAM",0,"Jul 14, 2010","N/A","€60M","€275K","€111M",388,84,75,54,93,82,427,89,82,77,85,94,405,70,64,91,90,90,334,72,64,76,48,74,363,57,50,89,92,75,93,141,59,53,29,46,6,15,7,6,12,2104,431,2,4,"High","Medium",4,"Normal (170-185)",67,75,88,91,52,58
NA,"Sergio RamosCB",32,90,90,"Real Madrid
2005 ~ 2020",155862,"184cm / 6'0""","82kg / 181lbs","Right",87,"CB",0,"Aug 1, 2005","N/A","€44M","€300K","€90.2M",369,66,63,91,80,69,377,65,74,72,83,83,383,76,75,78,88,66,401,79,93,84,83,62,396,90,88,67,69,82,84,266,87,89,90,46,11,8,9,7,11,2238,464,3,3,"High","Medium",4,"Normal (170-185)",75,67,75,73,89,85
NA,"G. ChielliniCB",33,90,90,"Juventus
2005 ~ 2020",138956,"187cm / 6'2""","85kg / 187lbs","Left",87,"CB",0,"Jul 1, 2005","N/A","€31M","€225K","€51.2M",282,58,33,83,63,45,273,60,60,31,63,59,329,63,75,54,82,55,370,78,89,65,89,49,308,92,88,28,50,50,84,277,94,93,90,15,3,3,2,4,3,1854,409,3,2,"Medium","High",4,"Normal (185+)",70,46,58,60,91,84
NA,"N. KantéCDM CM",27,89,90,"Chelsea
2016 ~ 2023",215914,"168cm / 5'6""","72kg / 159lbs","Right",87,"CDM",1,"Jul 16, 2016","N/A","€63M","€225K","€121.3M",329,68,65,54,86,56,338,79,49,49,81,80,423,79,77,82,93,92,390,71,77,97,76,69,387,90,92,71,80,54,85,266,90,91,85,54,15,12,10,7,10,2187,473,3,2,"Medium","High",3,"Normal (170-)",78,66,77,81,87,84
NA,"P. DybalaCAM RW",24,89,94,"Juventus
2015 ~ 2022",211110,"177cm / 5'10""","75kg / 165lbs","Left",87,"CAM",5,"Jul 1, 2015","N/A","€89M","€200K","€153.5M",407,82,82,68,87,88,437,92,88,88,77,92,432,87,83,91,86,85,390,82,75,80,65,88,337,48,32,84,87,86,84,63,23,20,20,26,5,4,4,5,8,2092,439,3,4,"Medium","Medium",3,"Normal (170-185)",85,84,85,91,28,66
NA,"M. SalahRW ST",26,89,89,"Liverpool
2017 ~ 2023",209331,"175cm / 5'9""","71kg / 157lbs","Left",88,"CAM",0,"Jul 1, 2017","N/A","€71.5M","€275K","€132.3M",386,78,90,59,83,76,394,89,83,60,74,88,457,94,92,91,92,88,385,80,68,84,70,83,369,63,55,92,84,75,91,122,38,43,41,62,14,14,9,11,14,2175,464,3,4,"High","Medium",3,"Unique",93,85,80,89,45,72
NA,"V. van DijkCB",26,89,91,"Liverpool
2018 ~ 2023",203376,"193cm / 6'4""","92kg / 203lbs","Right",87,"CB",2,"Jan 1, 2018","N/A","€67M","€225K","€129M",314,53,52,85,79,45,357,70,60,70,81,76,351,74,79,61,88,49,400,81,88,75,92,64,334,82,89,41,60,62,87,265,90,90,85,58,13,10,13,11,11,2079,452,3,2,"Medium","Medium",3,"Normal (185+)",77,60,69,71,89,86
NA,"A. GriezmannCF ST",27,89,89,"Atlético Madrid
2014 ~ 2023",194765,"176cm / 5'9""","73kg / 161lbs","Left",87,"LW",0,"Jul 28, 2014","N/A","€71M","€140K","€145.6M",426,82,89,84,84,87,425,87,86,84,78,90,435,88,85,90,90,82,402,82,90,86,62,82,381,73,49,91,85,83,89,161,59,54,48,63,14,8,14,13,14,2293,472,3,4,"High","High",4,"Lean (170-185)",86,86,83,88,57,72
NA,"M. ter StegenGK",26,89,92,"FC Barcelona
2014 ~ 2022",192448,"187cm / 6'2""","85kg / 187lbs","Right",87,"GK",3,"Jul 1, 2014","N/A","€58M","€250K","€123.3M",99,18,14,11,42,14,112,17,18,12,47,18,254,38,50,37,86,43,224,22,79,35,78,10,171,43,22,11,70,25,70,48,25,13,10,438,88,85,88,87,90,1346,483,4,1,"Medium","Medium",3,"Normal (185+)",88,85,88,90,45,87
NA,"Sergio BusquetsCDM CM",29,89,89,"FC Barcelona
2008 ~ 2023",189511,"189cm / 6'2""","76kg / 168lbs","Right",86,"CDM",0,"Sep 1, 2008","N/A","€51.5M","€300K","€105.6M",330,62,67,68,89,44,384,80,66,68,82,88,307,50,52,66,87,52,344,61,66,86,77,54,396,85,87,77,87,60,93,256,90,86,80,48,5,8,13,9,13,2065,438,3,3,"Medium","Medium",4,"Lean (185+)",51,62,80,80,85,80
NA,"T. KroosCM",28,89,89,"Real Madrid
2014 ~ 2023",182521,"183cm / 6'0""","76kg / 168lbs","Right",86,"CM",0,"Jul 17, 2014","N/A","€66M","€350K","€135.3M",396,88,76,58,92,82,434,81,86,84,93,90,340,59,57,64,89,71,353,87,30,75,73,88,375,60,76,76,90,73,88,212,72,74,66,51,10,11,13,7,10,2161,451,5,3,"Medium","Medium",4,"Normal (170-185)",58,81,90,82,71,69
NA,"E. CavaniST",31,89,89,"Paris Saint Germain
2013 ~ 2020",179813,"185cm / 6'1""","77kg / 170lbs","Right",86,"ST",0,"Jul 16, 2013","N/A","€60M","€200K","€111M",416,70,89,89,78,90,367,80,77,76,52,82,378,75,76,77,91,59,424,87,88,92,78,79,387,84,48,93,77,85,82,136,52,45,39,53,12,5,13,13,10,2161,450,4,3,"High","High",4,"Lean (185+)",76,87,72,80,52,83
NA,"S. AgüeroST",30,89,89,"Manchester City
2011 ~ 2021",153079,"173cm / 5'8""","70kg / 154lbs","Right",88,"CF",0,"Jul 28, 2011","N/A","€64.5M","€300K","€119.3M",406,70,93,77,81,85,397,89,82,73,64,89,432,86,78,86,91,91,401,88,81,76,73,83,348,65,24,93,83,83,90,62,30,20,12,59,13,15,6,11,14,2105,438,4,4,"High","Medium",4,"Stocky (170-185)",82,89,76,89,29,73
NA,"K. MbappéST RW",19,88,95,"Paris Saint Germain
2018 ~ 2022",231747,"178cm / 5'10""","73kg / 161lbs","Right",88,"RW",7,"Jul 1, 2018","N/A","€82M","€100K","€168.1M",402,77,88,77,82,78,394,90,77,63,73,91,454,96,96,92,87,83,391,80,75,83,74,79,340,62,38,88,82,70,86,100,34,34,32,42,13,5,7,11,6,2123,460,4,5,"High","Medium",3,"Normal (170-185)",96,83,78,90,39,74
NA,"K. KoulibalyCB",27,88,90,"Napoli
2014 ~ 2023",201024,"187cm / 6'2""","89kg / 196lbs","Right",86,"CB",2,"Jul 1, 2014","N/A","€58M","€130K","€103M",217,30,22,83,68,14,248,69,28,28,60,63,317,70,75,50,82,40,320,55,81,75,94,15,281,87,88,24,49,33,80,266,91,88,87,43,7,11,7,13,5,1692,391,3,2,"High","High",3,"Normal (185+)",73,27,51,65,88,87
NA,"P. PogbaCM CAM",25,88,91,"Manchester United
2016 ~ 2021",195864,"191cm / 6'3""","84kg / 185lbs","Right",85,"CM",3,"Aug 9, 2016","N/A","€73M","€250K","€144.2M",401,80,75,75,86,85,434,87,85,82,90,90,374,71,79,76,82,66,430,90,83,88,87,82,395,78,64,83,88,82,87,197,63,67,67,20,5,6,2,4,3,2251,479,4,5,"High","Medium",4,"Lean (185+)",75,81,86,86,66,85
NA,"T. CourtoisGK",26,88,89,"Real Madrid
2018 ~ 2024",192119,"199cm / 6'6""","96kg / 212lbs","Left",85,"GK",1,"Aug 9, 2018","N/A","€47.5M","€225K","€100.9M",86,14,14,13,33,12,110,13,19,20,35,23,288,46,52,61,84,45,229,36,68,38,70,17,122,23,15,13,44,27,66,54,20,18,16,417,84,89,72,85,87,1306,466,2,1,"Medium","Medium",4,"Unique",84,89,72,87,49,85
NA,"C. EriksenCAM CM",26,88,89,"Tottenham Hotspur
2013 ~ 2020",190460,"181cm / 5'11""","76kg / 168lbs","Right",87,"CAM",1,"Aug 30, 2013","N/A","€69.5M","€200K","€133.8M",392,88,81,52,91,80,435,82,86,87,89,91,398,76,73,80,88,81,373,84,50,92,58,89,344,46,56,84,91,67,88,138,59,57,22,43,9,14,7,7,6,2123,449,5,4,"High","Medium",3,"Lean (170-185)",74,83,90,85,53,64
NA,"P. AubameyangST LM",29,88,88,"Arsenal
2018 ~ 2021",188567,"187cm / 6'2""","80kg / 176lbs","Right",85,"ST",0,"Jan 31, 2018","N/A","€59M","€250K","€112.1M",407,77,88,79,77,86,379,79,80,74,64,82,421,93,95,76,87,70,392,82,79,76,76,79,334,43,48,90,77,76,86,88,27,25,36,48,6,9,15,9,9,2069,440,4,4,"Medium","Low",3,"Lean (185+)",94,84,75,80,37,70
