"club","name","transfer_fee","Position","league","detailed_position","Squad","AVGage","Foreigners","TotalPlayerValue","League.x","Pos","GP","W","D","L","GR","GD","Points"
"1.FSV Mainz 05","Rona""el Pierre-Gabriel","€5.50m","Defence","Bundesliga","Right-Back",35,24.7,20,"€159.73m","Bundesliga",12,34,12,7,15,"46:57",-11,43
"1.FSV Mainz 05","Aar'on Mart'in","€7.00m","Defence","Bundesliga","Left-Back",35,24.7,20,"€159.73m","Bundesliga",12,34,12,7,15,"46:57",-11,43
"1.FSV Mainz 05","Jerry St. Juste","€8.00m","Defence","Bundesliga","Centre-Back",35,24.7,20,"€159.73m","Bundesliga",12,34,12,7,15,"46:57",-11,43
"AC Milan","Theo Hern'andez","€22.80m","Defence","Serie A","Left-Back",45,24.4,22,"€578.48m","Serie A",5,38,19,11,8,"55:36",19,68
"AC Milan","L'eo Duarte","€10.60m","Defence","Serie A","Centre-Back",45,24.4,22,"€578.48m","Serie A",5,38,19,11,8,"55:36",19,68
"ACF Fiorentina","Pol Lirola","Loan fee:","Defence","Serie A","Right-Back",56,22.9,36,"€315.33m","Serie A",16,38,8,17,13,"47:45",2,41
"Arsenal","Kieran Tierney","€27.00m","Defence","Premier League","Left-Back",42,24.9,28,"€659.05m","Premier League",5,38,21,7,10,"73:51",22,70
"Arsenal","Pablo Mar'i","Loan fee:","Defence","Premier League","Centre-Back",42,24.9,28,"€659.05m","Premier League",5,38,21,7,10,"73:51",22,70
"Arsenal","David Luiz","€8.70m","Defence","Premier League","Centre-Back",42,24.9,28,"€659.05m","Premier League",5,38,21,7,10,"73:51",22,70
"Arsenal","William Saliba","€30.00m","Defence","Premier League","Centre-Back",42,24.9,28,"€659.05m","Premier League",5,38,21,7,10,"73:51",22,70
"AS Roma","Mert Cetin","€4.30m","Defence","Serie A","Centre-Back",57,23.7,27,"€459.05m","Serie A",6,38,18,12,8,"66:48",18,66
