"name","transfer_fee","Position","club","league","detailed_position"
"Harry Maguire","€87.00m","Defence","Man Utd","Premier League","Centre-Back"
"Matthijs de Ligt","€85.50m","Defence","Juventus","Serie A","Centre-Back"
"Lucas Hernández","€80.00m","Defence","Bayern Munich","Bundesliga","Centre-Back"
"João Cancelo","€65.00m","Defence","Man City","Premier League","Right-Back"
"Aaron Wan-Bissaka","€55.00m","Defence","Man Utd","Premier League","Right-Back"
"Éder Militão","€50.00m","Defence","Real Madrid","LaLiga","Centre-Back"
"Ferland Mendy","€48.00m","Defence","Real Madrid","LaLiga","Left-Back"
"Danilo","€37.00m","Defence","Juventus","Serie A","Right-Back"
"Konstantinos Manolas","€36.00m","Defence","SSC Napoli","Serie A","Centre-Back"
"Benjamin Pavard","€35.00m","Defence","Bayern Munich","Bundesliga","Right-Back"
"Jules Koundé","€35.00m","Defence","Sevilla FC","LaLiga","Centre-Back"
"Abdou Diallo","€32.00m","Defence","Paris SG","Ligue 1","Centre-Back"
"Cristian Romero","€31.50m","Defence","Juventus","Serie A","Centre-Back"
"Mats Hummels","€30.50m","Defence","Bor. Dortmund","Bundesliga","Centre-Back"
"William Saliba","€30.00m","Defence","Arsenal","Premier League","Centre-Back"
"Leonardo Spinazzola","€29.50m","Defence","AS Roma","Serie A","Left-Back"
"Kieran Tierney","€27.00m","Defence","Arsenal","Premier League","Left-Back"
"Nico Schulz","€25.50m","Defence","Bor. Dortmund","Bundesliga","Left-Back"
"Mario Hermoso","€25.00m","Defence","Atlético Madrid","LaLiga","Centre-Back"
"Joachim Andersen","€24.00m","Defence","Olympique Lyon","Ligue 1","Centre-Back"
"Theo Hernández","€22.80m","Defence","AC Milan","Serie A","Left-Back"
"Valentino Lazaro","€22.40m","Defence","Inter","Serie A","Right-Back"
"Tyrone Mings","€22.30m","Defence","Aston Villa","Premier League","Centre-Back"
"Adam Webster","€22.22m","Defence","Brighton","Premier League","Centre-Back"
"Kieran Trippier","€22.00m","Defence","Atlético Madrid","LaLiga","Right-Back"
"Luca Pellegrini","€22.00m","Defence","Juventus","Serie A","Left-Back"
"Renan Lodi","€21.75m","Defence","Atlético Madrid","LaLiga","Left-Back"
"Edmond Tapsoba","€20.20m","Defence","B. Leverkusen","Bundesliga","Centre-Back"
"Junior Firpo","€20.00m","Defence","Barcelona","LaLiga","Left-Back"
"Felipe","€20.00m","Defence","Atlético Madrid","LaLiga","Centre-Back"
"Merih Demiral","€19.50m","Defence","Juventus","Serie A","Centre-Back"
"Guillermo Maripán","€18.00m","Defence","Monaco","Ligue 1","Centre-Back"
"Matt Targett","€15.50m","Defence","Aston Villa","Premier League","Left-Back"
"Manuel Lazzari","€15.00m","Defence","Lazio","Serie A","Right-Back"
"Ozan Kabak","€15.00m","Defence","FC Schalke 04","Bundesliga","Centre-Back"
"Diego Carlos","€15.00m","Defence","Sevilla FC","LaLiga","Centre-Back"
"Lloyd Kelly","€14.80m","Defence","Bournemouth","Premier League","Centre-Back"
"Amir Rrahmani","€14.20m","Defence","SSC Napoli","Serie A","Centre-Back"
"Douglas Santos","€13.50m","Defence","Zenit S-Pb","Premier Liga","Left-Back"
"Jeison Murillo","€13.30m","Defence","Sampdoria","Serie A","Centre-Back"
"Ezri Konsa","€13.30m","Defence","Aston Villa","Premier League","Centre-Back"
"Stefan Lainer","€12.50m","Defence","Bor. M'gladbach","Bundesliga","Right-Back"
"Stanley Nsoki","€12.50m","Defence","OGC Nice","Ligue 1","Centre-Back"
"Angeliño","€12.00m","Defence","Man City","Premier League","Left-Back"
"Pedro Porro","€12.00m","Defence","Man City","Premier League","Right-Back"
"Timo Baumgartl","€12.00m","Defence","PSV Eindhoven","Eredivisie","Centre-Back"
"Thierry Correia","€12.00m","Defence","Valencia","LaLiga","Right-Back"
"Zinho Vanheusden","€11.74m","Defence","Standard Liège","Jupiler Pro League","Centre-Back"
"Léo Duarte","€10.60m","Defence","AC Milan","Serie A","Centre-Back"
"Maximilian Wöber","€10.50m","Defence","RB Salzburg","Bundesliga","Centre-Back"
"Maximilian Wöber","€10.50m","Defence","Sevilla FC","LaLiga","Centre-Back"
"Denis Vavro","€10.50m","Defence","Lazio","Serie A","Centre-Back"
"Strahinja Pavlovic","€10.00m","Defence","Monaco","Ligue 1","Centre-Back"
