"name","transfer_fee","Position","club","league","detailed_position"
"Frenkie de Jong","€86.00m","Midfield","Barcelona","LaLiga","Central Midfield"
"Rodri","€70.00m","Midfield","Man City","Premier League","Defensive Midfield"
"Bruno Fernandes","€63.00m","Midfield","Man Utd","Premier League","Attacking Midfield"
"Tanguy Ndombélé","€62.00m","Midfield","Tottenham","Premier League","Central Midfield"
"Youri Tielemans","€45.00m","Midfield","Leicester","Premier League","Central Midfield"
"Mateo Kovacic","€45.00m","Midfield","Chelsea","Premier League","Central Midfield"
"Joelinton","€44.00m","Midfield","Newcastle","Premier League","Attacking Midfield"
"Franck Kessié","€32.00m","Midfield","AC Milan","Serie A","Central Midfield"
"Kerem Demirbay","€32.00m","Midfield","B. Leverkusen","Bundesliga","Central Midfield"
"Alex Iwobi","€30.40m","Midfield","Everton","Premier League","Attacking Midfield"
"Reinier","€30.00m","Midfield","Real Madrid","LaLiga","Attacking Midfield"
"Idrissa Gueye","€30.00m","Midfield","Paris SG","Ligue 1","Central Midfield"
"Marcos Llorente","€30.00m","Midfield","Atlético Madrid","LaLiga","Central Midfield"
"Dani Olmo","€29.00m","Midfield","RB Leipzig","Bundesliga","Attacking Midfield"
"Pablo Fornals","€28.00m","Midfield","West Ham","Premier League","Attacking Midfield"
"Christian Eriksen","€27.00m","Midfield","Inter","Serie A","Central Midfield"
"Ryan Sessegnon","€27.00m","Midfield","Tottenham","Premier League","Left Midfield"
"Julian Brandt","€25.00m","Midfield","Bor. Dortmund","Bundesliga","Attacking Midfield"
"Jean-Philippe Gbamin","€25.00m","Midfield","Everton","Premier League","Defensive Midfield"
"André Gomes","€25.00m","Midfield","Everton","Premier League","Central Midfield"
"Lucas Tousart","€25.00m","Midfield","Hertha BSC","Bundesliga","Defensive Midfield"
"Jeff Reine-Adélaïde","€25.00m","Midfield","Olympique Lyon","Ligue 1","Attacking Midfield"
"Sander Berge","€23.00m","Midfield","Sheff Utd","Premier League","Central Midfield"
"Nikola Vlasic","€23.00m","Midfield","CSKA Moscow","Premier Liga","Attacking Midfield"
"Giovani Lo Celso","€22.00m","Midfield","Real Betis","LaLiga","Central Midfield"
"Thiago Mendes","€22.00m","Midfield","Olympique Lyon","Ligue 1","Defensive Midfield"
"Bryan Cristante","€22.00m","Midfield","AS Roma","Serie A","Defensive Midfield"
"Stanislav Lobotka","€21.00m","Midfield","SSC Napoli","Serie A","Defensive Midfield"
"Amadou Diawara","€21.00m","Midfield","AS Roma","Serie A","Defensive Midfield"
"Julian Weigl","€20.00m","Midfield","Benfica","Liga NOS","Defensive Midfield"
"Bruno Guimarães","€20.00m","Midfield","Olympique Lyon","Ligue 1","Defensive Midfield"
"Renato Sanches","€20.00m","Midfield","LOSC Lille","Ligue 1","Central Midfield"
"Nabil Fekir","€19.75m","Midfield","Real Betis","LaLiga","Attacking Midfield"
"Sofyan Amrabat","€19.50m","Midfield","Fiorentina","Serie A","Defensive Midfield"
"Dennis Praet","€19.20m","Midfield","Leicester","Premier League","Central Midfield"
"Yusuf Yazici","€18.50m","Midfield","LOSC Lille","Ligue 1","Attacking Midfield"
"Aurélien Tchouaméni","€18.00m","Midfield","Monaco","Ligue 1","Defensive Midfield"
"Guus Til","€18.00m","Midfield","Spartak Moscow","Premier Liga","Attacking Midfield"
"Pedri","€17.50m","Midfield","Barcelona","LaLiga","Central Midfield"
"Ismaël Bennacer","€17.20m","Midfield","AC Milan","Serie A","Defensive Midfield"
"Exequiel Palacios","€17.00m","Midfield","B. Leverkusen","Bundesliga","Central Midfield"
"Douglas Luiz","€16.80m","Midfield","Aston Villa","Premier League","Central Midfield"
"Stefano Sturaro","€16.50m","Midfield","Genoa","Serie A","Central Midfield"
"Philip Billing","€16.50m","Midfield","Bournemouth","Premier League","Central Midfield"
"Nahitan Nández","€16.20m","Midfield","Cagliari Calcio","Serie A","Central Midfield"
"Eljif Elmas","€16.20m","Midfield","SSC Napoli","Serie A","Central Midfield"
"Giovani Lo Celso","Loan fee:","Midfield","Tottenham","Premier League","Central Midfield"
"Edson Álvarez","€15.00m","Midfield","Ajax","Eredivisie","Defensive Midfield"
"Youssouf Fofana","€15.00m","Midfield","Monaco","Ligue 1","Central Midfield"
"Jakub Jankto","€14.50m","Midfield","Sampdoria","Serie A","Left Midfield"
"Diadié Samassékou","€14.00m","Midfield","TSG Hoffenheim","Bundesliga","Defensive Midfield"
"Joan Jordán","€14.00m","Midfield","Sevilla FC","LaLiga","Central Midfield"
"Manuel Locatelli","€14.00m","Midfield","Sassuolo","Serie A","Defensive Midfield"
"Djibril Sow","€14.00m","Midfield","E. Frankfurt","Bundesliga","Central Midfield"
"Leander Dendoncker","€13.80m","Midfield","Wolves","Premier League","Defensive Midfield"
"Ruslan Malinovskyi","€13.60m","Midfield","Atalanta BC","Serie A","Attacking Midfield"
"Valentin Rongier","€13.00m","Midfield","Marseille","Ligue 1","Central Midfield"
"Gerson","€13.00m","Midfield","Flamengo","Série A","Central Midfield"
"Alexis Claude-Maurice","€13.00m","Midfield","OGC Nice","Ligue 1","Attacking Midfield"
"Denis Suárez","€12.90m","Midfield","Celta de Vigo","LaLiga","Attacking Midfield"
"Razvan Marin","€12.50m","Midfield","Ajax","Eredivisie","Central Midfield"
"Erick Pulgar","€12.30m","Midfield","Fiorentina","Serie A","Defensive Midfield"
"Nicolò Barella","Loan fee:","Midfield","Inter","Serie A","Central Midfield"
"Shoya Nakajima","€12.00m","Midfield","FC Porto","Liga NOS","Attacking Midfield"
