"club","name","transfer_fee","Position","league","detailed_position","Squad","AVGage","Foreigners","TotalPlayerValue","League.x","Pos","GP","W","D","L","GR","GD","Points"
"1.FSV Mainz 05","Edimilson Fernandes","€7.50m","Midfield","Bundesliga","Central Midfield",35,24.7,20,"€159.73m","Bundesliga",12,34,12,7,15,"46:57",-11,43
"AC Milan","Isma""el Bennacer","€17.20m","Midfield","Serie A","Defensive Midfield",45,24.4,22,"€578.48m","Serie A",5,38,19,11,8,"55:36",19,68
"AC Milan","Rade Krunic","€8.60m","Midfield","Serie A","Central Midfield",45,24.4,22,"€578.48m","Serie A",5,38,19,11,8,"55:36",19,68
"AC Milan","Franck Kessi'e","€32.00m","Midfield","Serie A","Central Midfield",45,24.4,22,"€578.48m","Serie A",5,38,19,11,8,"55:36",19,68
"ACF Fiorentina","Erick Pulgar","€12.30m","Midfield","Serie A","Defensive Midfield",56,22.9,36,"€315.33m","Serie A",16,38,8,17,13,"47:45",2,41
"ACF Fiorentina","Sofyan Amrabat","€19.50m","Midfield","Serie A","Defensive Midfield",56,22.9,36,"€315.33m","Serie A",16,38,8,17,13,"47:45",2,41
"ACF Fiorentina","Alfred Duncan","Loan fee:","Midfield","Serie A","Central Midfield",56,22.9,36,"€315.33m","Serie A",16,38,8,17,13,"47:45",2,41
"AS Roma","Bryan Cristante","€22.00m","Midfield","Serie A","Defensive Midfield",57,23.7,27,"€459.05m","Serie A",6,38,18,12,8,"66:48",18,66
"AS Roma","Amadou Diawara","€21.00m","Midfield","Serie A","Defensive Midfield",57,23.7,27,"€459.05m","Serie A",6,38,18,12,8,"66:48",18,66
"AS Roma","Henrikh Mkhitaryan","Loan fee:","Midfield","Serie A","Attacking Midfield",57,23.7,27,"€459.05m","Serie A",6,38,18,12,8,"66:48",18,66
"AS Roma","Gonzalo Villar","€5.00m","Midfield","Serie A","Central Midfield",57,23.7,27,"€459.05m","Serie A",6,38,18,12,8,"66:48",18,66
"Atalanta BC","Ruslan Malinovskyi","€13.60m","Midfield","Serie A","Attacking Midfield",88,22.7,29,"€367.68m","Serie A",3,38,20,9,9,"77:46",31,69
"AZ Alkmaar","Hakon Evjen","€2.50m","Midfield","Eredivisie","Attacking Midfield",39,23.2,13,"€67.50m","Eredivisie",4,34,17,7,10,"64:43",21,58
"Barcelona","Matheus Fernandes","€7.00m","Midfield","LaLiga","Defensive Midfield",39,24.7,20,"€1.16bn","LaLiga",1,38,26,9,3,"90:36",54,87
"Barcelona","Frenkie de Jong","€86.00m","Midfield","LaLiga","Central Midfield",39,24.7,20,"€1.16bn","LaLiga",1,38,26,9,3,"90:36",54,87
"Barcelona","Pedri","€17.50m","Midfield","LaLiga","Central Midfield",39,24.7,20,"€1.16bn","LaLiga",1,38,26,9,3,"90:36",54,87
"Bayer 04 Leverkusen","Exequiel Palacios","€17.00m","Midfield","Bundesliga","Central Midfield",31,24.6,16,"€429.40m","Bundesliga",4,34,18,4,12,"69:52",17,58
"Bayer 04 Leverkusen","Kerem Demirbay","€32.00m","Midfield","Bundesliga","Central Midfield",31,24.6,16,"€429.40m","Bundesliga",4,34,18,4,12,"69:52",17,58
"Bayer 04 Leverkusen","Nadiem Amiri","€9.00m","Midfield","Bundesliga","Central Midfield",31,24.6,16,"€429.40m","Bundesliga",4,34,18,4,12,"69:52",17,58
"Bayern Munich","Ivan Perisic","Loan fee:","Midfield","Bundesliga","Left Midfield",32,25.7,15,"€784.88m","Bundesliga",1,34,24,6,4,"88:32",56,78
