"Name","Age","Overall.rating","Potential","Years Left","field_position","Value","Wage","Skill.moves","Total.attacking","Total.skill","Total.movement","Total.power","Total.mentality","Weak.foot"
"Cristiano Ronaldo",33,94,94,3,"Attacker",7.7e+07,4e+05,5,435,416,433,450,354,4
"Neymar Jr",26,92,92,3,"Attacker",1.08e+08,3e+05,5,400,446,458,353,350,5
"L. Suárez",31,91,91,2,"Attacker",8e+07,450000,3,423,413,413,413,389,4
"H. Kane",24,90,92,5,"Attacker",96500000,2e+05,3,422,393,375,426,377,4
"R. Lewandowski",29,90,90,2,"Attacker",7.7e+07,2e+05,4,409,402,402,418,374,4
"A. Griezmann",27,89,89,4,"Attacker",7.1e+07,140000,4,426,425,435,402,381,3
"E. Cavani",31,89,89,1,"Attacker",6e+07,2e+05,3,416,367,378,424,387,4
"S. Agüero",30,89,89,2,"Attacker",64500000,3e+05,4,406,397,432,401,348,4
"K. Mbappé",19,88,95,3,"Attacker",8.2e+07,1e+05,5,402,394,454,391,340,4
"P. Aubameyang",29,88,88,2,"Attacker",5.9e+07,250000,4,407,379,421,392,334,4
"S. Mané",26,87,87,4,"Attacker",5.4e+07,2e+05,4,387,384,455,390,350,4
"R. Sterling",23,87,89,4,"Attacker",6.2e+07,2e+05,4,347,381,461,338,305,3
"M. Icardi",25,87,89,2,"Attacker",62500000,130000,3,386,315,395,393,316,4
"H. Son",25,87,88,4,"Attacker",6.1e+07,170000,4,397,398,427,391,341,5
"C. Immobile",28,87,87,4,"Attacker",5.2e+07,110000,3,387,336,390,399,351,4
"G. Higuaín",30,87,87,NA,"Attacker",48500000,2e+05,3,400,363,370,400,305,4
"L. Sané",22,86,92,2,"Attacker",6.1e+07,190000,4,400,402,439,378,332,3
"Roberto Firmino",26,86,87,4,"Attacker",5.3e+07,190000,4,402,396,402,402,375,4
"R. Lukaku",25,86,88,3,"Attacker",5.5e+07,2e+05,3,397,362,357,406,336,4
"Marcelo",30,86,86,3,"Attacker",3.2e+07,225000,5,382,412,422,394,392,4
"G. Bale",28,86,86,3,"Attacker",4.5e+07,275000,4,423,426,416,424,364,3
"K. Benzema",30,86,86,2,"Attacker",4.3e+07,250000,4,402,398,384,389,346,4
"D. Alli",22,85,90,5,"Attacker",51500000,120000,4,398,392,373,386,405,3
"R. Mahrez",27,85,85,4,"Attacker",40500000,2e+05,5,357,417,429,350,317,4
"A. Lacazette",27,85,85,3,"Attacker",4.1e+07,180000,4,385,374,420,388,358,4
"Douglas Costa",27,85,85,3,"Attacker",40500000,160000,5,361,413,457,368,335,3
"Y. Brahimi",28,85,85,0,"Attacker",3.9e+07,30000,4,353,413,428,351,321,3
"M. Mandžukić",32,85,85,2,"Attacker",30500000,170000,3,408,337,348,401,394,3
"I. Perišić",29,85,85,3,"Attacker",37500000,110000,4,404,394,405,414,374,5
"E. Džeko",32,85,85,3,"Attacker",30500000,110000,2,389,352,307,389,339,5
"Z. Ibrahimović",36,85,85,0,"Attacker",1.4e+07,15000,5,404,392,305,392,368,4
"O. Dembélé",21,84,92,3,"Attacker",4.6e+07,170000,4,359,390,444,348,328,5
"T. Werner",22,84,87,1,"Attacker",4e+07,80000,3,395,341,429,373,318,4
"A. Martial",22,84,90,5,"Attacker",42500000,160000,4,378,373,423,387,337,3
"S. Gnabry",22,84,87,4,"Attacker",39500000,90000,4,363,365,438,370,328,4
"E. Višća",28,84,84,2,"Attacker",31500000,50000,4,363,372,440,373,336,4
"F. Thauvin",25,84,85,2,"Attacker",3.7e+07,70000,4,396,405,407,390,340,3
"Felipe Anderson",25,84,85,3,"Attacker",3.7e+07,120000,4,349,395,434,336,345,4
"J. Cuadrado",30,84,84,1,"Attacker",29500000,150000,5,355,391,435,378,359,3
"Iago Aspas",30,84,84,4,"Attacker",3e+07,50000,3,408,391,409,364,345,3
"José Callejón",31,84,84,1,"Attacker",27500000,1e+05,3,389,356,424,377,322,3
"Diego Costa",29,84,84,2,"Attacker",3.1e+07,90000,2,378,332,344,387,367,4
"Falcao",32,84,84,1,"Attacker",2.5e+07,110000,3,393,370,368,390,356,4
"A. Gómez",30,84,84,3,"Attacker",29500000,50000,4,348,402,447,348,330,4
"M. Rashford",20,83,90,4,"Attacker",37500000,130000,5,376,394,430,396,350,3
"Gabriel Jesus",21,83,90,4,"Attacker",3.7e+07,130000,4,374,367,440,380,346,3
"Ronaldo Cabrais",26,83,83,2,"Attacker",2.8e+07,50000,4,380,414,420,380,344,4
"Louri Beretta",26,83,83,2,"Attacker",28500000,60000,4,379,322,356,394,315,3
"Gonçalo Guedes",21,83,89,5,"Attacker",35500000,40000,4,364,382,426,374,340,4
"A. Kramarić",27,83,83,3,"Attacker",27500000,60000,4,395,379,399,382,340,4
"K. Coman",22,83,88,4,"Attacker",34500000,90000,5,359,392,442,359,287,3
"Q. Promes",26,83,83,4,"Attacker",2.8e+07,30000,5,372,390,429,391,332,4
"Lucas Vázquez",27,83,83,2,"Attacker",2.7e+07,2e+05,4,352,392,423,371,355,4
"Y. Carrasco",24,83,84,2,"Attacker",3.1e+07,20000,4,354,406,424,365,304,4
"Lucas Moura",25,83,84,5,"Attacker",31500000,120000,4,356,389,449,374,354,3
"Rodrigo",27,83,83,3,"Attacker",27500000,60000,4,385,372,422,387,325,3
"A. Sánchez",29,83,83,3,"Attacker",25500000,180000,4,383,402,422,399,361,3
"C. Vela",29,83,83,3,"Attacker",25500000,15000,4,393,390,405,366,331,2
"F. Quagliarella",35,83,83,1,"Attacker",1.2e+07,50000,4,387,390,376,392,317,4
"L. Jović",20,82,88,4,"Attacker",3.1e+07,40000,3,389,344,386,379,305,5
"Gelson Martins",23,82,87,NA,"Attacker",29500000,70000,5,351,365,456,340,326,3
"N. Pépé",23,82,88,3,"Attacker",30500000,40000,4,351,380,432,376,319,3
"H. Lozano",22,82,87,4,"Attacker",29500000,20000,4,359,369,436,358,331,4
"Rafa",25,82,83,5,"Attacker",26500000,20000,4,335,366,446,316,325,3
"M. Politano",24,82,83,NA,"Attacker",26500000,70000,4,348,399,424,337,325,4
"D. Zapata",27,82,82,NA,"Attacker",23500000,40000,4,352,305,345,390,285,4
"J. Vardy",31,82,82,3,"Attacker",2e+07,1e+05,3,371,317,415,380,374,3
"A. Belotti",24,82,87,2,"Attacker",3e+07,60000,3,362,315,387,398,337,5
"S. Haller",24,82,85,2,"Attacker",28500000,50000,3,364,286,349,386,355,2
"A. Milik",24,82,86,2,"Attacker",29500000,80000,4,363,370,349,385,325,3
"K. Bellarabi",28,82,82,2,"Attacker",22500000,80000,4,350,357,431,380,321,3
"Morata",25,82,84,NA,"Attacker",27500000,70000,3,397,336,367,382,311,4
"K. Volland",25,82,83,2,"Attacker",2.7e+07,80000,3,391,394,394,417,359,4
"Paco Alcácer",24,82,85,4,"Attacker",28500000,60000,3,377,370,413,362,309,4
"W. Ben Yedder",27,82,82,2,"Attacker",23500000,30000,4,388,389,431,358,341,5
"C. Bakambu",27,82,82,2,"Attacker",23500000,30000,3,384,360,414,395,338,4
"W. Zaha",25,82,85,4,"Attacker",28500000,80000,5,341,350,428,354,317,3
"Willian José",26,82,83,5,"Attacker",26500000,40000,4,380,345,324,398,335,4
"J. Corona",25,82,83,3,"Attacker",26500000,20000,5,370,395,424,319,350,5
"S. El Shaarawy",25,82,82,3,"Attacker",2.4e+07,30000,5,363,375,413,338,312,3
