"Club","Squad","AVGage","Foreigners","TotalPlayerValue","League.x","Pos","GP","W","D","L","GR","GD","Points"
"1.FC Nuremberg",29,25.2,"11","€54.40m","Bundesliga",18,34,3,10,21,"26:68",-42,19
"1.FSV Mainz 05",35,24.7,"20","€159.73m","Bundesliga",12,34,12,7,15,"46:57",-11,43
"AA Argentinos Juniors",51,23.2,"7","€21.90m","ProfessionalFootballLeague",18,30,9,7,14,"24:30",-6,34
"AC Milan",45,24.4,"22","€578.48m","Serie A",5,38,19,11,8,"55:36",19,68
"ACF Fiorentina",56,22.9,"36","€315.33m","Serie A",16,38,8,17,13,"47:45",2,41
"ADO Den Haag",33,24.9,"10","€21.10m","Eredivisie",9,34,12,9,13,"58:63",-5,45
"AFC Bournemouth",37,25.7,"17","€310.00m","Premier League",14,38,13,6,19,"56:70",-14,45
"Ajax Amsterdam",39,23,"21","€503.15m","Eredivisie",1,34,28,2,4,"119:32",87,86
"Akhisarspor",39,27.7,"16","€11.78m","SuperLig",18,34,6,9,19,"33:54",-21,27
"Alanyaspor",34,28.2,"17","€39.45m","SuperLig",9,34,12,8,14,"37:43",-6,44
"América Futebol Clube (MG)",50,24.3,"0","€28.65m","CampeonatoBrasileiroSerieA",18,38,10,10,18,"30:47",-17,40
"Antalyaspor",44,25.7,"14","€21.28m","SuperLig",7,34,13,6,15,"39:55",-16,45
"Arsenal",42,24.9,"28","€659.05m","Premier League",5,38,21,7,10,"73:51",22,70
"AS Roma",57,23.7,"27","€459.05m","Serie A",6,38,18,12,8,"66:48",18,66
"Associação Chapecoense de Futebol",52,24.3,"5","€32.35m","CampeonatoBrasileiroSerieA",14,38,11,11,16,"34:50",-16,44
"Atalanta BC",88,22.7,"29","€367.68m","Serie A",3,38,20,9,9,"77:46",31,69
"Athletic Bilbao",32,26.8,"3","€234.25m","LaLiga",8,38,13,14,11,"41:45",-4,53
"Atlético de Madrid",37,24.2,"17","€969.70m","LaLiga",2,38,22,10,6,"55:29",26,76
"Atlético Paranaense",52,23.3,"3","€39.90m","CampeonatoBrasileiroSerieA",7,38,16,9,13,"54:37",17,57
"AZ Alkmaar",39,23.2,"13","€67.50m","Eredivisie",4,34,17,7,10,"64:43",21,58
"B SAD",35,25.6,"17","€18.18m","LigaNOS",9,34,10,13,11,"42:51",-9,43
"Basaksehir FK",42,28.3,"22","€54.63m","SuperLig",2,34,19,10,5,"49:22",27,67
"Bayer 04 Leverkusen",31,24.6,"16","€429.40m","Bundesliga",4,34,18,4,12,"69:52",17,58
"Bayern Munich",32,25.7,"15","€784.88m","Bundesliga",1,34,24,6,4,"88:32",56,78
"Besiktas JK",42,26.6,"18","€77.75m","SuperLig",3,34,19,8,7,"72:46",26,65
"Boavista",35,26.9,"24","€18.80m","LigaNOS",8,34,13,5,16,"34:40",-6,44
"Bologna 1909",48,25,"28","€119.68m","Serie A",10,38,11,11,16,"48:56",-8,44
"Borussia Dortmund",34,24.4,"19","€643.25m","Bundesliga",2,34,23,7,4,"81:44",37,76
"Borussia Mönchengladbach",30,25.2,"17","€264.30m","Bundesliga",5,34,16,7,11,"55:42",13,55
"Botafogo de Futebol e Regatas",45,22.4,"4","€25.50m","CampeonatoBrasileiroSerieA",9,38,13,12,13,"38:46",-8,51
"Brighton & Hove Albion",41,25.8,"29","€194.35m","Premier League",17,38,9,9,20,"35:60",-25,36
"Burnley",33,28.1,"14","€197.25m","Premier League",15,38,11,7,20,"45:68",-23,40
"Bursaspor",38,24.8,"14","€28.15m","SuperLig",16,34,7,16,11,"28:37",-9,37
"Büyüksehir Belediye Erzurumspor",35,27.4,"17","€16.03m","SuperLig",17,34,8,11,15,"36:43",-7,35
"CA Banfield",40,23.6,"5","€22.10m","ProfessionalFootballLeague",11,30,10,11,9,"25:22",3,41
"CA Boca Juniors",56,23.3,"12","€132.25m","ProfessionalFootballLeague",5,28,15,7,6,"42:27",15,52
"CA Colon",47,24.6,"8","€34.60m","ProfessionalFootballLeague",13,30,9,10,11,"31:31",0,37
"CA Huracán",48,25.6,"9","€28.83m","ProfessionalFootballLeague",4,29,14,11,4,"38:28",10,53
"CA Independiente",47,24.2,"10","€70.60m","ProfessionalFootballLeague",9,31,13,9,9,"41:28",13,48
