"zentriert","bilderrahmen-fixed src","hauptlink","hauptlink href","inline-table","flaggenrahmen src","inline-table href","tiny_wappen src","hauptlink 2","flaggenrahmen src 2","inline-table 2","inline-table href 2","rechts","rechts href","flaggenrahmen src 3"
"1","https://img.a.transfermarkt.technology/portrait/medium/462250-1668165358.jpg?lm=1","João Félix","https://www.transfermarkt.us/joao-felix/profil/spieler/462250","Second Striker","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","https://www.transfermarkt.us/atletico-madrid/startseite/verein/13/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/13.png?lm=1519120744","Atlético Madrid","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€127.20m","https://www.transfermarkt.us/jumplist/transfers/spieler/462250/transfer_id/2536292",""
"2","https://img.a.transfermarkt.technology/portrait/medium/125781-1667568355.jpg?lm=1","Antoine Griezmann","https://www.transfermarkt.us/antoine-griezmann/profil/spieler/125781","Second Striker","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/fc-barcelona/startseite/verein/131/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/131.png?lm=1406739548","Barcelona","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€120.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/125781/transfer_id/2552096",""
"3","https://img.a.transfermarkt.technology/portrait/medium/50202-1665067742.jpg?lm=1","Eden Hazard","https://www.transfermarkt.us/eden-hazard/profil/spieler/50202","Left Winger","https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569","https://www.transfermarkt.us/real-madrid/startseite/verein/418/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/418.png?lm=1580722449","Real Madrid","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€115.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/50202/transfer_id/2499860",""
"4","https://img.a.transfermarkt.technology/portrait/medium/343052-1539166309.jpg?lm=1","Nicolas Pépé","https://www.transfermarkt.us/nicolas-pepe/profil/spieler/343052","Right Winger","https://tmssl.akamaized.net/images/flagge/verysmall/38.png?lm=1520611569","https://www.transfermarkt.us/fc-arsenal/startseite/verein/11/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/11.png?lm=1489787850","Arsenal","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€80.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/343052/transfer_id/2585250","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569"
"5","https://img.a.transfermarkt.technology/portrait/medium/96341-1661780981.jpg?lm=1","Romelu Lukaku","https://www.transfermarkt.us/romelu-lukaku/profil/spieler/96341","Centre-Forward","https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569","https://www.transfermarkt.us/inter-mailand/startseite/verein/46/saison_id/2019","","Inter","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€74.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/96341/transfer_id/2596904","https://tmssl.akamaized.net/images/flagge/verysmall/193.png?lm=1520611569"
"6","https://img.a.transfermarkt.technology/portrait/medium/257462-1657519856.jpg?lm=1","Luka Jović","https://www.transfermarkt.us/luka-jovi%C4%87/profil/spieler/257462","Centre-Forward","https://tmssl.akamaized.net/images/flagge/verysmall/215.png?lm=1520611569","https://www.transfermarkt.us/real-madrid/startseite/verein/418/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/418.png?lm=1580722449","Real Madrid","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€63.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/257462/transfer_id/2494625","https://tmssl.akamaized.net/images/flagge/verysmall/24.png?lm=1569523290"
"7","https://img.a.transfermarkt.technology/portrait/medium/181375-1661412873.jpg?lm=1","Sébastien Haller","https://www.transfermarkt.us/sebastien-haller/profil/spieler/181375","Centre-Forward","https://tmssl.akamaized.net/images/flagge/verysmall/38.png?lm=1520611569","https://www.transfermarkt.us/west-ham-united/startseite/verein/379/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/379.png?lm=1464675260","West Ham","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€50.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/181375/transfer_id/2561224","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569"
"8","https://img.a.transfermarkt.technology/portrait/medium/316889-1661508585.jpg?lm=1","Hirving Lozano","https://www.transfermarkt.us/hirving-lozano/profil/spieler/316889","Right Winger","https://tmssl.akamaized.net/images/flagge/verysmall/110.png?lm=1520611569","https://www.transfermarkt.us/ssc-neapel/startseite/verein/6195/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/6195.png?lm=1437135876","SSC Napoli","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€45.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/316889/transfer_id/2618892",""
"9","https://img.a.transfermarkt.technology/portrait/medium/412363-1653297541.jpg?lm=1","Rodrygo","https://www.transfermarkt.us/rodrygo/profil/spieler/412363","Right Winger","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/real-madrid/startseite/verein/418/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/418.png?lm=1580722449","Real Madrid","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€45.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/412363/transfer_id/2134412","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569"
"10","https://img.a.transfermarkt.technology/portrait/medium/146854-1614089939.jpg?lm=1","Wissam Ben Yedder","https://www.transfermarkt.us/wissam-ben-yedder/profil/spieler/146854","Centre-Forward","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/as-monaco/startseite/verein/162/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/162.png?lm=1654781919","Monaco","https://tmssl.akamaized.net/images/flagge/verysmall/113.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€40.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/146854/transfer_id/2605584","https://tmssl.akamaized.net/images/flagge/verysmall/173.png?lm=1520611569"
