"zentriert","bilderrahmen-fixed src","hauptlink","hauptlink href","flaggenrahmen src","inline-table href","tiny_wappen src","hauptlink 2","flaggenrahmen src 2","inline-table 2","inline-table href 2","rechts","rechts href"
"1","https://img.a.transfermarkt.technology/portrait/medium/146227-1660814229.jpg?lm=1","Jasper Cillessen","https://www.transfermarkt.us/jasper-cillessen/profil/spieler/146227","https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569","https://www.transfermarkt.us/fc-valencia/startseite/verein/1049/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1049.png?lm=1406966320","Valencia","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€35.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/146227/transfer_id/2525356"
"2","https://img.a.transfermarkt.technology/portrait/medium/240414-1595847422.jpg?lm=1","Alex Meret","https://www.transfermarkt.us/alex-meret/profil/spieler/240414","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","https://www.transfermarkt.us/ssc-neapel/startseite/verein/6195/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/6195.png?lm=1437135876","SSC Napoli","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€26.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/240414/transfer_id/2215830"
"3","https://img.a.transfermarkt.technology/portrait/medium/111819-1448463847.jpg?lm=1","Neto","https://www.transfermarkt.us/neto/profil/spieler/111819","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/fc-barcelona/startseite/verein/131/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/131.png?lm=1406739548","Barcelona","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€26.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/111819/transfer_id/2526149"
"4","https://img.a.transfermarkt.technology/portrait/medium/286415-1666815446.jpg?lm=1","Pau López","https://www.transfermarkt.us/pau-lopez/profil/spieler/286415","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/as-rom/startseite/verein/12/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/12.png?lm=1533302889","AS Roma","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€23.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/286415/transfer_id/2549299"
"5","https://img.a.transfermarkt.technology/portrait/medium/256339-1663679682.jpg?lm=1","Emil Audero","https://www.transfermarkt.us/emil-audero/profil/spieler/256339","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","https://www.transfermarkt.us/sampdoria-genua/startseite/verein/1038/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1038.png?lm=1520934353","Sampdoria","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€20.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/256339/transfer_id/2415331"
"6","https://img.a.transfermarkt.technology/portrait/medium/79422-1672304953.jpg?lm=1","Keylor Navas","https://www.transfermarkt.us/keylor-navas/profil/spieler/79422","https://tmssl.akamaized.net/images/flagge/verysmall/36.png?lm=1520611569","https://www.transfermarkt.us/fc-paris-saint-germain/startseite/verein/583/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/583.png?lm=1522312728","Paris SG","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€15.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/79422/transfer_id/2631421"
"7","https://img.a.transfermarkt.technology/portrait/medium/127181-1614089018.jpg?lm=1","Benjamin Lecomte","https://www.transfermarkt.us/benjamin-lecomte/profil/spieler/127181","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/as-monaco/startseite/verein/162/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/162.png?lm=1654781919","Monaco","https://tmssl.akamaized.net/images/flagge/verysmall/113.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€13.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/127181/transfer_id/2557653"
"8","https://img.a.transfermarkt.technology/portrait/medium/303657-1661515008.jpg?lm=1","Ionut Radu","https://www.transfermarkt.us/ionut-radu/profil/spieler/303657","https://tmssl.akamaized.net/images/flagge/verysmall/140.png?lm=1520611569","https://www.transfermarkt.us/inter-mailand/startseite/verein/46/saison_id/2019","","Inter","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€10.60m","https://www.transfermarkt.us/jumplist/transfers/spieler/303657/transfer_id/2551795"
"9","https://img.a.transfermarkt.technology/portrait/medium/34130-1464863026.jpg?lm=1","Tom Heaton","https://www.transfermarkt.us/tom-heaton/profil/spieler/34130","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","https://www.transfermarkt.us/aston-villa/startseite/verein/405/saison_id/2019","","Aston Villa","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€8.80m","https://www.transfermarkt.us/jumplist/transfers/spieler/34130/transfer_id/2584411"
"10","https://img.a.transfermarkt.technology/portrait/medium/303657-1661515008.jpg?lm=1","Ionut Radu","https://www.transfermarkt.us/ionut-radu/profil/spieler/303657","https://tmssl.akamaized.net/images/flagge/verysmall/140.png?lm=1520611569","https://www.transfermarkt.us/genua-cfc/startseite/verein/252/saison_id/2019","","Genoa","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€8.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/303657/transfer_id/2153417"
