"zentriert","bilderrahmen-fixed src","hauptlink","hauptlink href","inline-table","flaggenrahmen src","inline-table href","tiny_wappen src","hauptlink 2","flaggenrahmen src 2","inline-table 2","inline-table href 2","rechts","rechts href","flaggenrahmen src 3"
"1","https://img.a.transfermarkt.technology/portrait/medium/326330-1656499973.png?lm=1","Frenkie de Jong","https://www.transfermarkt.us/frenkie-de-jong/profil/spieler/326330","Central Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569","https://www.transfermarkt.us/fc-barcelona/startseite/verein/131/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/131.png?lm=1406739548","Barcelona","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€86.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/326330/transfer_id/2380046",""
"2","https://img.a.transfermarkt.technology/portrait/medium/357565-1682587890.jpg?lm=1","Rodri","https://www.transfermarkt.us/rodri/profil/spieler/357565","Defensive Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/manchester-city/startseite/verein/281/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/281.png?lm=1467356331","Man City","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€70.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/357565/transfer_id/2535945",""
"3","https://img.a.transfermarkt.technology/portrait/medium/240306-1636537174.jpg?lm=1","Bruno Fernandes","https://www.transfermarkt.us/bruno-fernandes/profil/spieler/240306","Attacking Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","https://www.transfermarkt.us/manchester-united/startseite/verein/985/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/985.png?lm=1457975903","Man Utd","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€63.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/240306/transfer_id/2777833",""
"4","https://img.a.transfermarkt.technology/portrait/medium/450936-1561540648.jpg?lm=1","Tanguy Ndombélé","https://www.transfermarkt.us/tanguy-ndombele/profil/spieler/450936","Central Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/tottenham-hotspur/startseite/verein/148/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/148.png?lm=1544345801","Tottenham","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€62.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/450936/transfer_id/2534110","https://tmssl.akamaized.net/images/flagge/verysmall/193.png?lm=1520611569"
"5","https://img.a.transfermarkt.technology/portrait/medium/249565-1626861318.jpg?lm=1","Youri Tielemans","https://www.transfermarkt.us/youri-tielemans/profil/spieler/249565","Central Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569","https://www.transfermarkt.us/leicester-city/startseite/verein/1003/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1003.png?lm=1472229265","Leicester","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€45.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/249565/transfer_id/2544718","https://tmssl.akamaized.net/images/flagge/verysmall/193.png?lm=1520611569"
"6","https://img.a.transfermarkt.technology/portrait/medium/51471-1682668192.jpg?lm=1","Mateo Kovacic","https://www.transfermarkt.us/mateo-kovacic/profil/spieler/51471","Central Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/37.png?lm=1520611569","https://www.transfermarkt.us/fc-chelsea/startseite/verein/631/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/631.png?lm=1682435911","Chelsea","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€45.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/51471/transfer_id/2532076",""
"7","https://img.a.transfermarkt.technology/portrait/medium/333241-1674210135.jpg?lm=1","Joelinton","https://www.transfermarkt.us/joelinton/profil/spieler/333241","Attacking Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/newcastle-united/startseite/verein/762/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/762.png?lm=1472921161","Newcastle","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€44.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/333241/transfer_id/2571479",""
"8","https://img.a.transfermarkt.technology/portrait/medium/294808-1594276547.jpg?lm=1","Franck Kessié","https://www.transfermarkt.us/franck-kessie/profil/spieler/294808","Central Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/38.png?lm=1520611569","https://www.transfermarkt.us/ac-mailand/startseite/verein/5/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/5.png?lm=1605166627","AC Milan","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€32.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/294808/transfer_id/1781085","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569"
"9","https://img.a.transfermarkt.technology/portrait/medium/125858-1658913486.jpg?lm=1","Kerem Demirbay","https://www.transfermarkt.us/kerem-demirbay/profil/spieler/125858","Central Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","https://www.transfermarkt.us/bayer-04-leverkusen/startseite/verein/15/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/15.png?lm=1651221781","B. Leverkusen","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€32.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/125858/transfer_id/2470493","https://tmssl.akamaized.net/images/flagge/verysmall/174.png?lm=1520611569"
"10","https://img.a.transfermarkt.technology/portrait/medium/242631-1679652866.jpg?lm=1","Alex Iwobi","https://www.transfermarkt.us/alex-iwobi/profil/spieler/242631","Attacking Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/124.png?lm=1520611569","https://www.transfermarkt.us/fc-everton/startseite/verein/29/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/29.png?lm=1445949846","Everton","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€30.40m","https://www.transfermarkt.us/jumplist/transfers/spieler/242631/transfer_id/2597318","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569"
