"Name","Age","Overall.rating","Potential","Years Left","field_position","Value","Wage","Skill.moves","Weak.foot","Total.attacking","Total.skill","Total.movement","Total.power","Total.mentality","Total.defending"
"L. Messi",31,94,94,2,"Midfielder",110500000,575000,4,4,429,469,460,385,333,87
"K. De Bruyne",27,91,91,4,"Midfielder",9.3e+07,350000,4,5,404,436,401,408,397,177
"E. Hazard",27,91,91,1,"Midfielder",9.3e+07,325000,4,4,395,434,461,368,357,83
"L. Modrić",32,91,91,1,"Midfielder",6.7e+07,425000,4,4,382,433,426,376,398,217
"David Silva",32,90,90,1,"Midfielder",6e+07,275000,4,2,388,427,405,334,363,141
"N. Kanté",27,89,90,4,"Midfielder",6.3e+07,225000,2,3,329,338,423,390,387,266
"P. Dybala",24,89,94,3,"Midfielder",8.9e+07,2e+05,4,3,407,437,432,390,337,63
"M. Salah",26,89,89,4,"Midfielder",71500000,275000,4,3,386,394,457,385,369,122
"Sergio Busquets",29,89,89,4,"Midfielder",51500000,3e+05,3,3,330,384,307,344,396,256
"T. Kroos",28,89,89,4,"Midfielder",6.6e+07,350000,3,5,396,434,340,353,375,212
"P. Pogba",25,88,91,2,"Midfielder",7.3e+07,250000,5,4,401,434,374,430,395,197
"C. Eriksen",26,88,89,1,"Midfielder",69500000,2e+05,4,5,392,435,398,373,344,138
"M. Reus",29,88,88,4,"Midfielder",5.8e+07,130000,4,4,394,425,426,387,364,130
"Casemiro",26,87,89,2,"Midfielder",50500000,225000,2,3,342,366,341,431,387,257
"J. Rodríguez",26,87,87,NA,"Midfielder",5.4e+07,140000,4,3,414,433,380,370,368,137
"L. Insigne",27,87,87,3,"Midfielder",53500000,130000,4,4,385,425,451,336,295,97
"Isco",26,87,88,3,"Midfielder",5.9e+07,250000,4,3,360,434,398,341,362,175
"Thiago",27,87,87,2,"Midfielder",51500000,140000,5,3,375,429,409,364,374,205
"D. Mertens",31,87,87,1,"Midfielder",4.5e+07,130000,4,4,350,415,452,338,344,105
"I. Rakitić",30,87,87,2,"Midfielder",46500000,250000,3,4,393,427,347,364,396,224
"Fernandinho",33,87,87,1,"Midfielder",20500000,2e+05,3,4,363,384,374,399,385,253
"Bernardo Silva",23,86,91,5,"Midfielder",59500000,180000,4,3,366,412,426,331,352,148
"M. Verratti",25,86,89,2,"Midfielder",5.5e+07,130000,4,4,341,404,400,307,395,241
"T. Müller",28,86,86,2,"Midfielder",4.5e+07,130000,3,4,415,369,385,394,352,129
"Coutinho",26,86,86,4,"Midfielder",47500000,250000,5,4,364,443,429,374,348,156
"M. Pjanić",28,86,86,4,"Midfielder",4.4e+07,180000,3,4,363,438,378,369,383,222
"S. Milinković-Savić",23,85,90,4,"Midfielder",50500000,70000,4,4,389,411,343,421,371,224
"Bruno Fernandes",23,85,89,4,"Midfielder",5e+07,20000,4,4,392,431,396,407,399,189
"Fabinho",24,85,89,4,"Midfielder",42500000,130000,3,2,350,364,360,390,409,255
"H. Ziyech",25,85,86,3,"Midfielder",4.6e+07,30000,4,2,371,425,400,339,370,152
"Saúl",23,85,90,7,"Midfielder",50500000,80000,3,4,391,380,374,405,366,230
"Koke",26,85,85,5,"Midfielder",41500000,90000,3,4,364,413,384,397,376,210
"Parejo",29,85,85,3,"Midfielder",3.7e+07,70000,3,4,387,429,316,361,389,200
"Azpilicueta",28,85,85,3,"Midfielder",30500000,160000,2,3,334,352,381,362,371,262
"Á. Di María",30,85,85,2,"Midfielder",36500000,140000,5,2,370,425,420,373,350,153
"A. Vidal",31,85,85,2,"Midfielder",3.3e+07,225000,3,4,394,386,362,420,423,254
"R. Nainggolan",30,85,85,3,"Midfielder",35500000,1e+05,3,3,366,387,396,416,399,259
"A. Witsel",29,85,85,3,"Midfielder",3e+07,80000,4,4,387,383,369,399,399,248
"M. Özil",29,85,85,2,"Midfielder",37500000,170000,4,2,376,417,374,316,307,59
"B. Matuidi",31,85,85,1,"Midfielder",2.6e+07,140000,2,2,362,351,402,402,376,257
"F. de Jong",21,84,90,3,"Midfielder",4.2e+07,20000,4,3,346,407,408,358,351,226
"Marco Asensio",22,84,89,4,"Midfielder",41500000,190000,4,3,381,410,404,369,316,121
"N. Fekir",24,84,87,1,"Midfielder",39500000,80000,4,3,374,415,413,389,339,93
"L. Goretzka",23,84,88,3,"Midfielder",4e+07,90000,3,4,381,395,393,392,383,222
"M. Depay",24,84,88,2,"Midfielder",4.1e+07,90000,5,3,379,416,414,401,342,80
"Allan",27,84,84,4,"Midfielder",3.2e+07,1e+05,4,3,344,357,405,384,388,257
"D. Tadić",29,84,84,4,"Midfielder",30500000,30000,4,2,389,416,388,367,346,108
"Pizzi",28,84,84,4,"Midfielder",31500000,20000,3,4,364,407,390,364,387,184
"Illarramendi",28,84,84,4,"Midfielder",2.5e+07,50000,3,3,335,387,353,353,378,246
"Paulinho",29,84,84,4,"Midfielder",3e+07,40000,4,3,388,382,369,429,395,229
"İ. Gündoğan",27,84,84,4,"Midfielder",3.2e+07,170000,4,4,364,415,376,351,387,207
"Willian",29,84,84,1,"Midfielder",30500000,170000,4,4,323,412,427,351,331,151
"S. Khedira",31,84,84,2,"Midfielder",26500000,150000,2,4,383,383,310,389,396,239
"É. Banega",30,84,84,1,"Midfielder",2.9e+07,30000,4,4,348,419,371,350,395,218
"Lucas Leiva",31,84,84,3,"Midfielder",2.1e+07,70000,3,3,338,358,374,376,378,247
"M. Hamšík",30,84,84,2,"Midfielder",2.9e+07,30000,3,5,389,402,370,378,373,207
"K. Havertz",19,83,90,3,"Midfielder",35500000,40000,4,4,384,377,394,354,303,123
"Rodri",22,83,88,4,"Midfielder",29500000,60000,3,3,347,360,359,375,349,234
"Arthur",21,83,90,5,"Midfielder",3.6e+07,140000,4,3,350,386,390,374,382,216
"N. Keïta",23,83,88,4,"Midfielder",3.4e+07,120000,4,4,336,387,403,342,367,194
"C. Tolisso",23,83,88,3,"Midfielder",3.4e+07,90000,3,3,370,383,373,417,386,224
"T. Lemar",22,83,89,4,"Midfielder",35500000,60000,4,2,372,412,422,370,359,177
"Anderson Talisca",24,83,88,3,"Midfielder",34500000,30000,4,4,389,418,379,381,364,154
"J. Brandt",22,83,88,2,"Midfielder",34500000,70000,4,4,354,383,404,369,294,93
"A. Rabiot",23,83,87,0,"Midfielder",3.3e+07,90000,3,3,373,377,381,394,379,226
"Jorginho",26,83,84,4,"Midfielder",3e+07,140000,3,3,348,405,352,336,394,209
"Suso",24,83,85,3,"Midfielder",3.2e+07,110000,4,3,362,419,408,348,275,91
"J. Draxler",24,83,86,2,"Midfielder",32500000,90000,4,5,394,410,393,378,340,147
"Danilo Pereira",26,83,84,3,"Midfielder",2.5e+07,20000,3,3,330,336,323,370,365,238
"J. Iličić",30,83,83,2,"Midfielder",2.5e+07,50000,4,4,381,415,351,356,350,111
"Pablo Sarabia",26,83,84,1,"Midfielder",30500000,30000,4,4,370,408,389,323,339,163
"K. Kampl",27,83,83,2,"Midfielder",26500000,70000,3,4,321,402,410,344,358,188
"I. Gueye",28,83,83,3,"Midfielder",2.1e+07,120000,3,3,289,324,393,392,362,257
"N. Matić",29,83,83,1,"Midfielder",2e+07,150000,3,3,365,378,274,387,368,240
"Canales",27,83,83,3,"Midfielder",2.7e+07,40000,4,3,348,403,391,341,341,150
"Oscar",26,83,83,1,"Midfielder",2.8e+07,30000,4,3,362,399,398,338,320,165
"M. Kruse",30,83,83,0,"Midfielder",2.5e+07,50000,4,4,393,402,372,371,359,124
"G. Wijnaldum",27,83,83,2,"Midfielder",26500000,140000,4,3,367,393,403,391,375,215
"João Moutinho",31,83,83,1,"Midfielder",2.2e+07,1e+05,3,4,386,412,359,372,373,209
"F. Ribéry",35,83,83,0,"Midfielder",11500000,70000,5,4,357,409,412,298,323,82
"Quaresma",34,83,83,1,"Midfielder",1.3e+07,70000,5,4,358,417,408,340,334,59
"Iniesta",34,83,83,2,"Midfielder",12500000,15000,4,4,370,412,370,301,366,183
"Rosberto Dourado",30,82,82,2,"Midfielder",16500000,50000,2,4,323,342,393,323,369,249
"Fabián",22,82,90,4,"Midfielder",3.2e+07,70000,4,4,365,380,354,349,376,223
"G. Lo Celso",22,82,88,4,"Midfielder",3e+07,30000,4,3,363,405,402,370,358,193
"L. Torreira",22,82,87,4,"Midfielder",2.5e+07,1e+05,3,3,331,384,409,355,359,245
"Malcom",21,82,89,4,"Midfielder",3.1e+07,140000,4,4,362,401,424,366,306,66
"F. Bernardeschi",24,82,85,3,"Midfielder",2.8e+07,110000,5,3,358,407,413,362,348,153
"K. Demirbay",24,82,85,3,"Midfielder",27500000,40000,4,4,336,418,372,371,365,178
"P. Zieliński",24,82,86,2,"Midfielder",28500000,70000,4,5,356,395,397,348,342,212
"T. Partey",25,82,87,4,"Midfielder",2.5e+07,60000,3,3,335,363,355,414,343,241
"R. Guerreiro",24,82,85,1,"Midfielder",2.8e+07,60000,4,2,375,413,409,348,345,205
"E. Forsberg",26,82,83,3,"Midfielder",2.6e+07,70000,4,4,351,396,390,335,332,78
"William Carvalho",26,82,85,4,"Midfielder",2.3e+07,30000,3,4,324,368,293,375,363,231
"J. Lingard",25,82,83,2,"Midfielder",26500000,150000,4,3,372,376,416,374,367,159
"M. Kovačić",24,82,86,NA,"Midfielder",28500000,110000,4,4,339,404,397,364,360,204
"T. Hazard",25,82,83,1,"Midfielder",26500000,40000,4,3,354,406,420,353,346,118
"Rafinha",25,82,85,1,"Midfielder",2.8e+07,160000,4,4,362,383,380,367,339,208
"C. Aránguiz",29,82,82,1,"Midfielder",21500000,80000,3,4,349,393,379,367,389,220
"Luis Alberto",25,82,84,3,"Midfielder",26500000,60000,4,3,369,428,388,348,281,142
"X. Shaqiri",26,82,82,4,"Midfielder",2.4e+07,140000,5,4,353,423,416,371,336,132
"H. Mkhitaryan",29,82,82,2,"Midfielder",21500000,130000,4,5,361,388,412,367,368,149
"M. Götze",26,82,83,1,"Midfielder",26500000,70000,4,4,382,412,396,348,370,173
"Ander Herrera",28,82,82,0,"Midfielder",2.2e+07,150000,3,4,351,385,384,362,408,245
"D. Blind",28,82,82,3,"Midfielder",1.8e+07,30000,3,4,356,384,343,369,355,244
"Muniain",25,82,83,5,"Midfielder",26500000,30000,4,3,335,389,429,322,330,151
"Pedro",30,82,82,1,"Midfielder",2.1e+07,140000,4,5,361,378,396,339,330,112
"G. Bonaventura",28,82,82,1,"Midfielder",2.2e+07,110000,4,3,384,404,388,389,368,214
